Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,StreamID
absdiff__detailed__clean__oppftmaderate_median,detailed_efficiency,0.0,961,947,0.0821048907736672,0.0757886191723793,0.7333333333333333,1.0,0.1291168154312162,0.2666102738890336,False,False,False,,below_bounded_prescreen,W_fallback
mean__compact__last20_games,compact_performance,0.0,961,6,0.0262855137841033,0.0,1.0,1.0,0.0,0.2657828130325027,False,False,False,,below_bounded_prescreen,W_fallback
mean__detailed__last20__games,detailed_efficiency,0.0,961,6,0.0262855137841033,0.0,1.0,1.0,0.0,0.2657828130325027,False,False,False,,below_bounded_prescreen,W_fallback
diff__quality__HasCompleteDetailedCoverage,detailed_efficiency,0.0,961,3,-0.0250947321948964,0.0,1.0,1.0,0.0,0.2655208410828772,False,False,False,,below_bounded_prescreen,W_fallback
diff__compact__last5_margin_median,compact_performance,0.0,961,85,0.1054722786628551,0.1065708258381928,0.6,1.0,0.137605648474956,0.2648536717691624,False,False,False,,below_bounded_prescreen,W_fallback
diff__availability__rich_coverage,availability_and_context,0.0,961,3,0.0188027081323609,0.0,1.0,1.0,0.0,0.2641365957891194,False,False,False,,below_bounded_prescreen,W_fallback
diff__quality__RichFeatureCoverageEligible,detailed_efficiency,0.0,961,3,0.0188027081323609,0.0,1.0,1.0,0.0,0.2641365957891194,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__availability__rich_coverage,availability_and_context,0.0,961,2,0.0181300563115103,0.0,1.0,1.0,0.0,0.2639886123885323,False,False,False,,below_bounded_prescreen,W_fallback
mean__availability__rich_coverage,availability_and_context,0.0,961,2,-0.0181300563115104,0.0,1.0,1.0,0.0,0.2639886123885323,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__all__opp_ftmade_rate_ros,detailed_efficiency,0.0,961,960,0.0946566983478993,0.1089062958148353,0.6,1.0,0.1283433282881313,0.2639657624961335,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__clean__assistperfgm_median,detailed_efficiency,0.0,961,914,0.0636662976312536,0.1226055239183028,0.6,1.0,0.1261863745722952,0.2638097819767693,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__all__assistperfgm_median,detailed_efficiency,0.0,961,921,0.0628443943800425,0.1226055239183028,0.6,1.0,0.1263095039497559,0.2636240380864045,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__ewm_h5__ftrate,detailed_efficiency,0.0,961,961,-0.0698549335594777,0.1165706222586045,0.6,1.0,0.1131681915090466,0.2627952564068534,False,False,False,,below_bounded_prescreen,W_fallback
diff__quality__MissingDetailedGames,detailed_efficiency,0.0,961,7,0.0120212220408925,0.0,1.0,1.0,0.0,0.2626446688489964,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__all__ft_rate_ros,detailed_efficiency,0.0,961,961,0.0570551948506227,0.0724025604728506,0.7333333333333333,1.0,0.0751752417864227,0.2616316955559817,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__ft_rate_ros,detailed_efficiency,0.0,961,961,0.0598431655321729,0.0708032006765484,0.7333333333333333,1.0,0.0764579370269777,0.2614260485940755,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__neutral__net_rtg_mean,detailed_efficiency,0.0634755463059313,900,900,0.0857586023647756,0.1185477050699198,0.6,1.0,0.1387853482839905,0.261140333317978,False,False,False,,below_bounded_prescreen,W_fallback
diff__compact__ewm_h10_points_against,compact_performance,0.0,961,961,-0.1088396500106226,0.1443925347326228,0.4666666666666667,1.0,0.2153238648951057,0.2593068517448583,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__last5__efg_mean,detailed_efficiency,0.0,961,961,0.1152693914433777,0.1359191803197674,0.4666666666666667,1.0,0.1979990646818826,0.2573471767504229,False,False,False,,below_bounded_prescreen,W_fallback
diff__compact__day120plus_win_pct,compact_performance,0.0,961,33,-0.0704815845407058,0.0561560113646365,0.7333333333333333,1.0,0.0780054051263732,0.2566739511822593,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__schedule__top_quartile_games,schedule_and_accomplishment,0.0,961,25,-0.0853282694416585,0.1448156168280412,0.4666666666666667,1.0,0.1651933484062655,0.2563426480850406,False,True,False,,correlation_pruned_or_cap,W_fallback
diff__detailed__clean__steal_pct_ros,detailed_efficiency,0.0,961,961,0.0514317944542223,0.1074934139492357,0.6,1.0,0.0832485095776853,0.2555818930924546,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__last10__off_rtg_mean,detailed_efficiency,0.0,961,961,0.0803561121937646,0.0934670443911103,0.6,1.0,0.0910282415079263,0.2549013963300441,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__all__steal_pct_ros,detailed_efficiency,0.0,961,961,0.0516690834361472,0.105928895443936,0.6,1.0,0.0871755866123765,0.2547260447045466,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__clean__oppassistperfgm_median,detailed_efficiency,0.0,961,842,-0.1160556987221068,0.177626121897081,0.3333333333333333,1.0,0.2401293840870483,0.2545209501993137,False,False,False,,below_bounded_prescreen,W_fallback
mean__detailed__all__oppftmaderate_median,detailed_efficiency,0.0,961,951,-0.0477892662878568,0.0603431388039415,0.7333333333333333,1.0,0.0811795810579092,0.2535644953002373,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__clean__assistperfgm_mean,detailed_efficiency,0.0,961,961,0.0547508280725314,0.1039423105960742,0.6,1.0,0.1101660765576535,0.2535308481997664,False,False,False,,below_bounded_prescreen,W_fallback
mean__conference__strength_std,conference_context,0.0,961,700,0.080852573517224,0.0942272829684722,0.6,1.0,0.1421664033255835,0.2533300058656326,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__poss0p475__off_rtg_mean,detailed_efficiency,0.0,961,961,0.0965769116126804,0.1334421114121857,0.4666666666666667,1.0,0.1727191837971056,0.2530570333474213,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__compact__margin_q25,compact_performance,0.0,961,120,0.0783192194540559,0.1381629282797524,0.4666666666666667,1.0,0.1632061886062914,0.2516868529765885,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__poss0p44__off_rtg_mean,detailed_efficiency,0.0,961,961,0.0951094938676192,0.1308547127321013,0.4666666666666667,1.0,0.1716691790936095,0.2515342502652071,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__off_rtg_ros,detailed_efficiency,0.0,961,961,0.0941317194743298,0.1299031756325147,0.4666666666666667,1.0,0.1690261835928219,0.2509681219109134,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__all__off_rtg_ros,detailed_efficiency,0.0,961,961,0.0952700971259777,0.1296860145231579,0.4666666666666667,1.0,0.1731727074564532,0.2509484667072394,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,961,692,-0.0453108307997388,0.1022255940518776,0.6,1.0,0.1052605831729275,0.2508262445939266,False,False,False,,below_bounded_prescreen,W_fallback
