Shrinkage,ClipFloor,MacroSeasonBrier,WorstSeasonBrier,IdentityDistance,OneSEThreshold,WithinOneSE,Selected,StreamID
0.9,0.0025,0.15620290399742548,0.16920488855033267,0.10499999999999998,0.1584689836849046,True,False,W_primary
0.9,0.005,0.15620290399742548,0.16920488855033267,0.10999999999999997,0.1584689836849046,True,False,W_primary
0.9,0.01,0.15620290399742548,0.16920488855033267,0.11999999999999998,0.1584689836849046,True,False,W_primary
0.9,0.02,0.15620290399742548,0.16920488855033267,0.13999999999999999,0.1584689836849046,True,False,W_primary
0.9,0.025,0.15620290399742548,0.16920488855033267,0.14999999999999997,0.1584689836849046,True,False,W_primary
0.9,0.05,0.15620290399742548,0.16920488855033267,0.19999999999999998,0.1584689836849046,True,False,W_primary
0.85,1e-06,0.15835499007370957,0.1706324669028718,0.15000200000000002,0.1584689836849046,True,False,W_primary
0.85,0.0025,0.15835499007370957,0.1706324669028718,0.15500000000000003,0.1584689836849046,True,False,W_primary
0.85,0.005,0.15835499007370957,0.1706324669028718,0.16000000000000003,0.1584689836849046,True,False,W_primary
0.85,0.01,0.15835499007370957,0.1706324669028718,0.17,0.1584689836849046,True,False,W_primary
0.85,0.02,0.15835499007370957,0.1706324669028718,0.19000000000000003,0.1584689836849046,True,False,W_primary
0.85,0.025,0.15835499007370957,0.1706324669028718,0.2,0.1584689836849046,True,False,W_primary
0.85,0.05,0.15835499007370957,0.1706324669028718,0.25,0.1584689836849046,True,False,W_primary
0.8,1e-06,0.1608669424678333,0.17242016748484862,0.20000199999999996,0.1584689836849046,False,False,W_primary
0.8,0.0025,0.1608669424678333,0.17242016748484862,0.20499999999999996,0.1584689836849046,False,False,W_primary
0.8,0.005,0.1608669424678333,0.17242016748484862,0.20999999999999996,0.1584689836849046,False,False,W_primary
0.8,0.01,0.1608669424678333,0.17242016748484862,0.21999999999999995,0.1584689836849046,False,False,W_primary
0.8,0.02,0.1608669424678333,0.17242016748484862,0.23999999999999996,0.1584689836849046,False,False,W_primary
0.8,0.025,0.1608669424678333,0.17242016748484862,0.24999999999999994,0.1584689836849046,False,False,W_primary
0.8,0.05,0.1608669424678333,0.17242016748484862,0.29999999999999993,0.1584689836849046,False,False,W_primary
1.0,1e-06,0.14868358783438557,0.15914364902279612,2e-06,0.15339303052283668,True,True,W_challenger
1.0,0.0025,0.14868358783438557,0.15914364902279612,0.005,0.15339303052283668,True,False,W_challenger
1.0,0.005,0.14868358783438557,0.15914364902279612,0.01,0.15339303052283668,True,False,W_challenger
1.0,0.01,0.14868358783438557,0.15914364902279612,0.02,0.15339303052283668,True,False,W_challenger
1.0,0.02,0.14868358783438557,0.15914364902279612,0.04,0.15339303052283668,True,False,W_challenger
1.0,0.025,0.14868358783438557,0.15914364902279612,0.05,0.15339303052283668,True,False,W_challenger
1.0,0.05,0.14877212771588594,0.159164542944204,0.1,0.15339303052283668,True,False,W_challenger
0.95,1e-06,0.1488181414207998,0.1589735631247627,0.050002000000000046,0.15339303052283668,True,False,W_challenger
0.95,0.0025,0.1488181414207998,0.1589735631247627,0.05500000000000004,0.15339303052283668,True,False,W_challenger
0.95,0.005,0.1488181414207998,0.1589735631247627,0.060000000000000046,0.15339303052283668,True,False,W_challenger
0.95,0.01,0.1488181414207998,0.1589735631247627,0.07000000000000005,0.15339303052283668,True,False,W_challenger
0.95,0.02,0.1488181414207998,0.1589735631247627,0.09000000000000005,0.15339303052283668,True,False,W_challenger
0.95,0.025,0.1488181414207998,0.1589735631247627,0.10000000000000005,0.15339303052283668,True,False,W_challenger
0.95,0.05,0.1488181414207998,0.1589735631247627,0.15000000000000005,0.15339303052283668,True,False,W_challenger
0.9,1e-06,0.14947177574635784,0.15929957232640243,0.10000199999999998,0.15339303052283668,True,False,W_challenger
0.9,0.0025,0.14947177574635784,0.15929957232640243,0.10499999999999998,0.15339303052283668,True,False,W_challenger
0.9,0.005,0.14947177574635784,0.15929957232640243,0.10999999999999997,0.15339303052283668,True,False,W_challenger
0.9,0.01,0.14947177574635784,0.15929957232640243,0.11999999999999998,0.15339303052283668,True,False,W_challenger
0.9,0.02,0.14947177574635784,0.15929957232640243,0.13999999999999999,0.15339303052283668,True,False,W_challenger
0.9,0.025,0.14947177574635784,0.15929957232640243,0.14999999999999997,0.15339303052283668,True,False,W_challenger
0.9,0.05,0.14947177574635784,0.15929957232640243,0.19999999999999998,0.15339303052283668,True,False,W_challenger
0.85,1e-06,0.1506444908110597,0.1601216766277151,0.15000200000000002,0.15339303052283668,True,False,W_challenger
0.85,0.0025,0.1506444908110597,0.1601216766277151,0.15500000000000003,0.15339303052283668,True,False,W_challenger
0.85,0.005,0.1506444908110597,0.1601216766277151,0.16000000000000003,0.15339303052283668,True,False,W_challenger
0.85,0.01,0.1506444908110597,0.1601216766277151,0.17,0.15339303052283668,True,False,W_challenger
0.85,0.02,0.1506444908110597,0.1601216766277151,0.19000000000000003,0.15339303052283668,True,False,W_challenger
0.85,0.025,0.1506444908110597,0.1601216766277151,0.2,0.15339303052283668,True,False,W_challenger
0.85,0.05,0.1506444908110597,0.1601216766277151,0.25,0.15339303052283668,True,False,W_challenger
0.8,1e-06,0.15233628661490545,0.16143987602870077,0.20000199999999996,0.15339303052283668,True,False,W_challenger
0.8,0.0025,0.15233628661490545,0.16143987602870077,0.20499999999999996,0.15339303052283668,True,False,W_challenger
0.8,0.005,0.15233628661490545,0.16143987602870077,0.20999999999999996,0.15339303052283668,True,False,W_challenger
0.8,0.01,0.15233628661490545,0.16143987602870077,0.21999999999999995,0.15339303052283668,True,False,W_challenger
0.8,0.02,0.15233628661490545,0.16143987602870077,0.23999999999999996,0.15339303052283668,True,False,W_challenger
0.8,0.025,0.15233628661490545,0.16143987602870077,0.24999999999999994,0.15339303052283668,True,False,W_challenger
0.8,0.05,0.15233628661490545,0.16143987602870077,0.29999999999999993,0.15339303052283668,True,False,W_challenger
0.95,1e-06,0.1858701112143955,0.2127082062336847,0.050002000000000046,0.1943822334649847,True,False,M_fallback
0.95,0.0025,0.1858701112143955,0.2127082062336847,0.05500000000000004,0.1943822334649847,True,False,M_fallback
0.95,0.005,0.1858701112143955,0.2127082062336847,0.060000000000000046,0.1943822334649847,True,False,M_fallback
0.95,0.01,0.1858701112143955,0.2127082062336847,0.07000000000000005,0.1943822334649847,True,False,M_fallback
0.95,0.02,0.1858701112143955,0.2127082062336847,0.09000000000000005,0.1943822334649847,True,False,M_fallback
0.95,0.025,0.1858701112143955,0.2127082062336847,0.10000000000000005,0.1943822334649847,True,False,M_fallback
0.95,0.05,0.18588050787836857,0.2127252773370918,0.15000000000000005,0.1943822334649847,True,False,M_fallback
1.0,0.05,0.1859083353510537,0.2142070302630116,0.1,0.1943822334649847,True,False,M_fallback
1.0,0.025,0.18593204245205625,0.2141335896431194,0.05,0.1943822334649847,True,False,M_fallback
1.0,1e-06,0.1859360957792258,0.21412656096364566,2e-06,0.1943822334649847,True,True,M_fallback
1.0,0.0025,0.1859360957792258,0.21412656096364566,0.005,0.1943822334649847,True,False,M_fallback
1.0,0.005,0.1859360957792258,0.21412656096364566,0.01,0.1943822334649847,True,False,M_fallback
1.0,0.01,0.1859360957792258,0.21412656096364566,0.02,0.1943822334649847,True,False,M_fallback
1.0,0.02,0.18594106117560144,0.2141301805522103,0.04,0.1943822334649847,True,False,M_fallback
0.9,1e-06,0.1861482508364988,0.21162795957548994,0.10000199999999998,0.1943822334649847,True,False,M_fallback
0.9,0.0025,0.1861482508364988,0.21162795957548994,0.10499999999999998,0.1943822334649847,True,False,M_fallback
0.9,0.005,0.1861482508364988,0.21162795957548994,0.10999999999999997,0.1943822334649847,True,False,M_fallback
0.9,0.01,0.1861482508364988,0.21162795957548994,0.11999999999999998,0.1943822334649847,True,False,M_fallback
0.9,0.02,0.1861482508364988,0.21162795957548994,0.13999999999999999,0.1943822334649847,True,False,M_fallback
0.9,0.025,0.1861482508364988,0.21162795957548994,0.14999999999999997,0.1943822334649847,True,False,M_fallback
0.9,0.05,0.1861482508364988,0.21162795957548994,0.19999999999999998,0.1943822334649847,True,False,M_fallback
0.85,1e-06,0.18677051464553568,0.21088582098906136,0.15000200000000002,0.1943822334649847,True,False,M_fallback
0.85,0.0025,0.18677051464553568,0.21088582098906136,0.15500000000000003,0.1943822334649847,True,False,M_fallback
0.85,0.005,0.18677051464553568,0.21088582098906136,0.16000000000000003,0.1943822334649847,True,False,M_fallback
0.85,0.01,0.18677051464553568,0.21088582098906136,0.17,0.1943822334649847,True,False,M_fallback
0.85,0.02,0.18677051464553568,0.21088582098906136,0.19000000000000003,0.1943822334649847,True,False,M_fallback
0.85,0.025,0.18677051464553568,0.21088582098906136,0.2,0.1943822334649847,True,False,M_fallback
0.85,0.05,0.18677051464553568,0.21088582098906136,0.25,0.1943822334649847,True,False,M_fallback
0.8,1e-06,0.18773690264150608,0.21048179047439894,0.20000199999999996,0.1943822334649847,True,False,M_fallback
0.8,0.0025,0.18773690264150608,0.21048179047439894,0.20499999999999996,0.1943822334649847,True,False,M_fallback
0.8,0.005,0.18773690264150608,0.21048179047439894,0.20999999999999996,0.1943822334649847,True,False,M_fallback
0.8,0.01,0.18773690264150608,0.21048179047439894,0.21999999999999995,0.1943822334649847,True,False,M_fallback
0.8,0.02,0.18773690264150608,0.21048179047439894,0.23999999999999996,0.1943822334649847,True,False,M_fallback
0.8,0.025,0.18773690264150608,0.21048179047439894,0.24999999999999994,0.1943822334649847,True,False,M_fallback
0.8,0.05,0.18773690264150608,0.21048179047439894,0.29999999999999993,0.1943822334649847,True,False,M_fallback
0.9,1e-06,0.1489150944286825,0.16689191899877792,0.10000199999999998,0.1560431721486095,True,False,W_fallback
0.9,0.0025,0.1489150944286825,0.16689191899877792,0.10499999999999998,0.1560431721486095,True,False,W_fallback
0.9,0.005,0.1489150944286825,0.16689191899877792,0.10999999999999997,0.1560431721486095,True,False,W_fallback
0.9,0.01,0.1489150944286825,0.16689191899877792,0.11999999999999998,0.1560431721486095,True,False,W_fallback
0.9,0.02,0.1489150944286825,0.16689191899877792,0.13999999999999999,0.1560431721486095,True,False,W_fallback
0.9,0.025,0.1489150944286825,0.16689191899877792,0.14999999999999997,0.1560431721486095,True,False,W_fallback
0.9,0.05,0.1489150944286825,0.16689191899877792,0.19999999999999998,0.1560431721486095,True,False,W_fallback
0.95,1e-06,0.1492160638666537,0.168197707938059,0.050002000000000046,0.1560431721486095,True,False,W_fallback
0.95,0.0025,0.1492160638666537,0.168197707938059,0.05500000000000004,0.1560431721486095,True,False,W_fallback
0.95,0.005,0.1492160638666537,0.168197707938059,0.060000000000000046,0.1560431721486095,True,False,W_fallback
0.95,0.01,0.1492160638666537,0.168197707938059,0.07000000000000005,0.1560431721486095,True,False,W_fallback
0.95,0.02,0.1492160638666537,0.168197707938059,0.09000000000000005,0.1560431721486095,True,False,W_fallback
0.95,0.025,0.1492160638666537,0.168197707938059,0.10000000000000005,0.1560431721486095,True,False,W_fallback
0.85,1e-06,0.14923694578284463,0.1662095936963874,0.15000200000000002,0.1560431721486095,True,False,W_fallback
0.85,0.0025,0.14923694578284463,0.1662095936963874,0.15500000000000003,0.1560431721486095,True,False,W_fallback
0.85,0.005,0.14923694578284463,0.1662095936963874,0.16000000000000003,0.1560431721486095,True,False,W_fallback
0.85,0.01,0.14923694578284463,0.1662095936963874,0.17,0.1560431721486095,True,False,W_fallback
0.85,0.02,0.14923694578284463,0.1662095936963874,0.19000000000000003,0.1560431721486095,True,False,W_fallback
0.85,0.025,0.14923694578284463,0.1662095936963874,0.2,0.1560431721486095,True,False,W_fallback
0.85,0.05,0.14923694578284463,0.1662095936963874,0.25,0.1560431721486095,True,False,W_fallback
0.95,0.05,0.14944492655462954,0.16836494064621607,0.15000000000000005,0.1560431721486095,True,False,W_fallback
1.0,1e-06,0.1501398540967582,0.1701269605142305,2e-06,0.1560431721486095,True,True,W_fallback
1.0,0.0025,0.1501400598256162,0.17012705646761717,0.005,0.1560431721486095,True,False,W_fallback
1.0,0.005,0.15014117082862538,0.17012787793944803,0.01,0.1560431721486095,True,False,W_fallback
1.0,0.01,0.150148059676852,0.17013269087850239,0.02,0.1560431721486095,True,False,W_fallback
0.8,1e-06,0.15018161792914012,0.16615073203088743,0.20000199999999996,0.1560431721486095,True,False,W_fallback
0.8,0.0025,0.15018161792914012,0.16615073203088743,0.20499999999999996,0.1560431721486095,True,False,W_fallback
0.8,0.005,0.15018161792914012,0.16615073203088743,0.20999999999999996,0.1560431721486095,True,False,W_fallback
0.8,0.01,0.15018161792914012,0.16615073203088743,0.21999999999999995,0.1560431721486095,True,False,W_fallback
0.8,0.02,0.15018161792914012,0.16615073203088743,0.23999999999999996,0.1560431721486095,True,False,W_fallback
0.8,0.025,0.15018161792914012,0.16615073203088743,0.24999999999999994,0.1560431721486095,True,False,W_fallback
0.8,0.05,0.15018161792914012,0.16615073203088743,0.29999999999999993,0.1560431721486095,True,False,W_fallback
1.0,0.02,0.15018656748977438,0.1701578984105256,0.04,0.1560431721486095,True,False,W_fallback
1.0,0.025,0.15022361751205188,0.1701880590258337,0.05,0.1560431721486095,True,False,W_fallback
1.0,0.05,0.15055238592142825,0.17000184247963748,0.1,0.1560431721486095,True,False,W_fallback
