bin,predicted,observed,games,Gender,block,model
1,0.134478433348942,0.1111111111111111,36,W,W,hist_raw
2,0.2564533933859486,0.2857142857142857,21,W,W,hist_raw
3,0.3521402126999327,0.42857142857142855,28,W,W,hist_raw
4,0.44537530821010657,0.3333333333333333,15,W,W,hist_raw
5,0.5510063784860848,0.7037037037037037,27,W,W,hist_raw
6,0.640290845139941,0.631578947368421,38,W,W,hist_raw
7,0.7401371379388165,0.6666666666666666,12,W,W,hist_raw
8,0.8631443948986026,0.7659574468085106,47,W,W,hist_raw
9,0.9375235534626405,0.9555555555555556,45,W,W,hist_raw
0,0.06109999633542936,0.0,53,W,W,lightgbm_calibrated
1,0.13419269526072744,0.12903225806451613,31,W,W,lightgbm_calibrated
2,0.24894080697307838,0.3684210526315789,19,W,W,lightgbm_calibrated
3,0.3468257549274137,0.42857142857142855,35,W,W,lightgbm_calibrated
4,0.4497367699311785,0.42857142857142855,14,W,W,lightgbm_calibrated
5,0.5515506365806517,0.5882352941176471,17,W,W,lightgbm_calibrated
6,0.6549582395478479,0.7741935483870968,31,W,W,lightgbm_calibrated
7,0.7638360680367404,0.5625,16,W,W,lightgbm_calibrated
8,0.864121117144824,0.868421052631579,38,W,W,lightgbm_calibrated
9,0.9411816454067269,0.8032786885245902,61,W,W,lightgbm_calibrated
0,0.06735713629345645,0.0,49,W,W,lightgbm_raw
1,0.13070256555584173,0.12903225806451613,31,W,W,lightgbm_raw
2,0.24782210160118046,0.2727272727272727,22,W,W,lightgbm_raw
3,0.34943002702492854,0.45714285714285713,35,W,W,lightgbm_raw
4,0.4487769203188325,0.4,15,W,W,lightgbm_raw
5,0.550083550397561,0.5882352941176471,17,W,W,lightgbm_raw
6,0.6538106283855437,0.7741935483870968,31,W,W,lightgbm_raw
7,0.7463225525837118,0.5882352941176471,17,W,W,lightgbm_raw
8,0.8662871305924799,0.8222222222222222,45,W,W,lightgbm_raw
9,0.9364537570597257,0.8301886792452831,53,W,W,lightgbm_raw
0,0.04220174105891992,0.03636363636363636,55,W,W,logistic_calibrated
1,0.14949872719625346,0.09375,32,W,W,logistic_calibrated
2,0.23449215261099385,0.2,15,W,W,logistic_calibrated
3,0.3534728848570494,0.36363636363636365,22,W,W,logistic_calibrated
4,0.43537222730131714,0.5,28,W,W,logistic_calibrated
5,0.5533515870281334,0.6363636363636364,22,W,W,logistic_calibrated
6,0.6609570868356628,0.8125,16,W,W,logistic_calibrated
7,0.7587248442401783,0.5172413793103449,29,W,W,logistic_calibrated
8,0.854141892678852,0.7567567567567568,37,W,W,logistic_calibrated
9,0.9633838839577001,0.9661016949152542,59,W,W,logistic_calibrated
0,0.04220174105891992,0.03636363636363636,55,W,W,logistic_raw
1,0.14949872719625346,0.09375,32,W,W,logistic_raw
2,0.23449215261099385,0.2,15,W,W,logistic_raw
3,0.3534728848570494,0.36363636363636365,22,W,W,logistic_raw
4,0.43537222730131714,0.5,28,W,W,logistic_raw
5,0.5533515870281334,0.6363636363636364,22,W,W,logistic_raw
6,0.6609570868356628,0.8125,16,W,W,logistic_raw
7,0.7587248442401783,0.5172413793103449,29,W,W,logistic_raw
8,0.854141892678852,0.7567567567567568,37,W,W,logistic_raw
9,0.9633838839577001,0.9661016949152542,59,W,W,logistic_raw
0,0.06176099075421313,0.04,50,W,W,seed_calibrated
1,0.1553823678060876,0.17647058823529413,34,W,W,seed_calibrated
2,0.2678879650492571,0.17391304347826086,23,W,W,seed_calibrated
3,0.35246058842374317,0.47058823529411764,17,W,W,seed_calibrated
4,0.4414546692507425,0.4827586206896552,29,W,W,seed_calibrated
5,0.5516969423673654,0.5277777777777778,36,W,W,seed_calibrated
6,0.6562354241284611,0.875,16,W,W,seed_calibrated
7,0.7240431339796537,0.7027027027027027,37,W,W,seed_calibrated
8,0.837376473255003,0.7428571428571429,35,W,W,seed_calibrated
9,0.9456347964160742,1.0,38,W,W,seed_calibrated
0,0.06677324019646096,0.0,27,W,W,seed_raw
1,0.14931874475541204,0.08163265306122448,49,W,W,seed_raw
2,0.25622966175277784,0.2,25,W,W,seed_raw
3,0.35043366259574876,0.4782608695652174,23,W,W,seed_raw
4,0.44676083073099115,0.4827586206896552,29,W,W,seed_raw
5,0.5448318302100088,0.5277777777777778,36,W,W,seed_raw
6,0.6551247972817583,0.7297297297297297,37,W,W,seed_raw
7,0.7363772580094543,0.76,25,W,W,seed_raw
8,0.8386954714113778,0.8235294117647058,34,W,W,seed_raw
9,0.9437157722855852,1.0,30,W,W,seed_raw
