model,block,feature,status,seasons
logistic,combined,diff_strength,retained,7
logistic,combined,diff_system_7OT_logit,retained,3
logistic,combined,diff_system_ADE_logit,retained,2
logistic,combined,diff_system_BBT_logit,retained,5
logistic,combined,diff_system_BIH_logit,retained,1
logistic,combined,diff_system_BOB_level,retained,1
logistic,combined,diff_system_BOB_logit,retained,4
logistic,combined,diff_system_CJB_logit,retained,1
logistic,combined,diff_system_CNG_level,retained,1
logistic,combined,diff_system_CNG_logit,retained,7
logistic,combined,diff_system_CRO_logit,retained,5
logistic,combined,diff_system_DOK_logit,retained,6
logistic,combined,diff_system_DOL_logit,retained,7
logistic,combined,diff_system_EBP_level,retained,1
logistic,combined,diff_system_EBP_logit,retained,7
logistic,combined,diff_system_KRA_logit,retained,1
logistic,combined,diff_system_LMC_logit,retained,6
logistic,combined,diff_system_MAS_logit,retained,2
logistic,combined,diff_system_MOR_logit,retained,5
logistic,combined,diff_system_MSX_logit,retained,2
logistic,combined,diff_system_OMY_logit,retained,1
logistic,combined,diff_system_POM_logit,retained,5
logistic,combined,diff_system_PTS_logit,retained,1
logistic,combined,diff_system_REI_logit,retained,1
logistic,combined,diff_system_RTH_logit,retained,6
logistic,combined,diff_system_RT_logit,retained,1
logistic,combined,diff_system_SAG_logit,retained,6
logistic,combined,diff_system_SEL_level,retained,1
logistic,combined,diff_system_SEL_logit,retained,4
logistic,combined,diff_system_SFX_logit,retained,1
logistic,combined,diff_system_STH_logit,retained,5
logistic,combined,diff_system_WIL_logit,retained,5
logistic,combined,diff_system_WLK_level,retained,1
logistic,combined,diff_system_WLK_logit,retained,7
logistic,combined,diff_win_rate,retained,7
logistic,consensus,diff_margin,retained,7
logistic,consensus,diff_margin_sd,retained,7
logistic,consensus,diff_rank_age,retained,7
logistic,consensus,diff_rank_coverage,retained,3
logistic,consensus,diff_rank_disagreement,retained,7
logistic,consensus,diff_rank_iqr,retained,7
logistic,consensus,diff_rank_logit,retained,7
logistic,consensus,diff_rank_lower,retained,7
logistic,consensus,diff_rank_mean,retained,7
logistic,consensus,diff_rank_systems,retained,4
logistic,consensus,diff_rank_top25,retained,7
logistic,consensus,diff_rank_top50,retained,7
logistic,consensus,diff_rank_upper,retained,4
logistic,consensus,diff_schedule_strength,retained,7
logistic,consensus,diff_seed,retained,7
logistic,consensus,diff_strength,retained,7
logistic,consensus,diff_win_rate,retained,7
logistic,deviations,diff_margin,retained,7
logistic,deviations,diff_margin_sd,retained,7
logistic,deviations,diff_rank_age,retained,7
logistic,deviations,diff_rank_coverage,retained,3
logistic,deviations,diff_rank_disagreement,retained,7
logistic,deviations,diff_rank_iqr,retained,7
logistic,deviations,diff_rank_logit,retained,7
