model,block,Season,scope,status,count
logistic,deviations,2016,base,redundant,2
logistic,deviations,2016,base,retained,16
logistic,deviations,2017,additional,all_missing,90
logistic,deviations,2017,additional,capacity,104
logistic,deviations,2017,additional,retained,16
logistic,deviations,2017,base,constant,1
logistic,deviations,2017,base,redundant,2
logistic,deviations,2017,base,retained,16
logistic,deviations,2018,additional,all_missing,88
logistic,deviations,2018,additional,capacity,106
logistic,deviations,2018,additional,retained,16
logistic,deviations,2018,base,constant,1
logistic,deviations,2018,base,redundant,3
logistic,deviations,2018,base,retained,15
logistic,deviations,2019,additional,all_missing,88
logistic,deviations,2019,additional,capacity,106
logistic,deviations,2019,additional,retained,16
logistic,deviations,2019,base,constant,1
logistic,deviations,2019,base,redundant,3
logistic,deviations,2019,base,retained,15
logistic,deviations,2021,additional,all_missing,88
logistic,deviations,2021,additional,capacity,106
logistic,deviations,2021,additional,retained,16
logistic,deviations,2021,base,constant,1
logistic,deviations,2021,base,redundant,3
logistic,deviations,2021,base,retained,15
logistic,embedding,2014,additional,constant_or_missing,200
logistic,embedding,2014,additional,embedded,220
logistic,embedding,2014,base,constant,1
logistic,embedding,2014,base,redundant,2
logistic,embedding,2014,base,retained,16
logistic,embedding,2015,additional,constant_or_missing,192
logistic,embedding,2015,additional,embedded,228
logistic,embedding,2015,base,constant,1
logistic,embedding,2015,base,redundant,2
logistic,embedding,2015,base,retained,16
logistic,embedding,2016,additional,constant_or_missing,184
logistic,embedding,2016,additional,embedded,236
logistic,embedding,2016,base,constant,1
logistic,embedding,2016,base,redundant,2
logistic,embedding,2016,base,retained,16
logistic,embedding,2017,additional,constant_or_missing,180
logistic,embedding,2017,additional,embedded,240
logistic,embedding,2017,base,constant,1
logistic,embedding,2017,base,redundant,2
logistic,embedding,2017,base,retained,16
logistic,embedding,2018,additional,constant_or_missing,176
logistic,embedding,2018,additional,embedded,244
logistic,embedding,2018,base,constant,1
logistic,embedding,2018,base,redundant,3
logistic,embedding,2018,base,retained,15
logistic,embedding,2019,additional,constant_or_missing,176
logistic,embedding,2019,additional,embedded,244
logistic,embedding,2019,base,constant,1
logistic,embedding,2019,base,redundant,3
logistic,embedding,2019,base,retained,15
logistic,embedding,2021,additional,constant_or_missing,176
logistic,embedding,2021,additional,embedded,244
logistic,embedding,2021,base,constant,1
logistic,embedding,2021,base,redundant,3
logistic,embedding,2021,base,retained,15
logistic,levels,2014,additional,all_missing,100
logistic,levels,2014,additional,capacity,88
logistic,levels,2014,additional,redundant,3
logistic,levels,2014,additional,redundant_base,3
logistic,levels,2014,additional,retained,16
logistic,levels,2014,base,constant,1
logistic,levels,2014,base,redundant,2
logistic,levels,2014,base,retained,16
logistic,levels,2015,additional,all_missing,96
logistic,levels,2015,additional,capacity,94
logistic,levels,2015,additional,redundant,2
logistic,levels,2015,additional,redundant_base,2
logistic,levels,2015,additional,retained,16
logistic,levels,2015,base,constant,1
logistic,levels,2015,base,redundant,2
logistic,levels,2015,base,retained,16
logistic,levels,2016,additional,all_missing,92
logistic,levels,2016,additional,capacity,95
logistic,levels,2016,additional,redundant,4
logistic,levels,2016,additional,redundant_base,3
logistic,levels,2016,additional,retained,16
logistic,levels,2016,base,constant,1
logistic,levels,2016,base,redundant,2
logistic,levels,2016,base,retained,16
logistic,levels,2017,additional,all_missing,90
logistic,levels,2017,additional,capacity,101
