scope,Gender,Season,arm,games,brier,baseline_brier,delta
all_tournament,M,2018,minimal,67,0.20424937604029247,0.19872274160058961,0.00552663443970286
all_tournament,M,2018,minimal_quality,67,0.20123175613290323,0.19872274160058961,0.0025090145323136137
all_tournament,M,2018,single_away_quality_wins,67,0.19833534740987377,0.19872274160058961,-0.00038739419071584513
all_tournament,M,2018,single_bad_loss_rate,67,0.19929009924799213,0.19872274160058961,0.000567357647402511
all_tournament,M,2018,single_elite_win_rate,67,0.19922985827552186,0.19872274160058961,0.0005071166749322509
all_tournament,M,2018,single_elite_wins,67,0.1984578660234663,0.19872274160058961,-0.0002648755771233191
all_tournament,M,2018,single_late_quality_wins,67,0.1992051328395693,0.19872274160058961,0.0004823912389796958
all_tournament,M,2018,single_quality_margin,67,0.201060661859866,0.19872274160058961,0.0023379202592763992
all_tournament,M,2018,single_quality_win_rate,67,0.20040318929949097,0.19872274160058961,0.001680447698901355
all_tournament,M,2018,single_quality_wins,67,0.20139062118238404,0.19872274160058961,0.00266787958179443
all_tournament,M,2018,single_schedule_quality,67,0.20114100826338716,0.19872274160058961,0.0024182666627975413
all_tournament,M,2018,single_seeded_win_rate,67,0.2013581629665704,0.19872274160058961,0.0026354213659807724
all_tournament,M,2018,single_seeded_wins,67,0.20298831565104958,0.19872274160058961,0.004265574050459964
all_tournament,M,2019,baseline,67,0.16680704324498197,0.16680704324498197,0.0
all_tournament,M,2019,minimal,67,0.17126316831653524,0.16680704324498197,0.0044561250715532685
all_tournament,M,2019,minimal_quality,67,0.16940313397273157,0.16680704324498197,0.002596090727749606
all_tournament,M,2019,single_away_quality_wins,67,0.16898958872748748,0.16680704324498197,0.0021825454825055157
all_tournament,M,2019,single_bad_loss_rate,67,0.1669385202313859,0.16680704324498197,0.00013147698640392225
all_tournament,M,2019,single_elite_win_rate,67,0.16676170544768823,0.16680704324498197,-4.5337797293737436e-05
all_tournament,M,2019,single_elite_wins,67,0.1669068077881578,0.16680704324498197,9.976454317583983e-05
all_tournament,M,2019,single_late_quality_wins,67,0.16641192812107594,0.16680704324498197,-0.00039511512390602577
all_tournament,M,2019,single_quality_margin,67,0.16680118813386183,0.16680704324498197,-5.855111120139922e-06
all_tournament,M,2019,single_quality_win_rate,67,0.16681654305668858,0.16680704324498197,9.499811706614736e-06
all_tournament,M,2019,single_quality_wins,67,0.16701007316348174,0.16680704324498197,0.0002030299184997697
all_tournament,M,2019,single_schedule_quality,67,0.16799294854563454,0.16680704324498197,0.0011859053006525733
all_tournament,M,2019,single_seeded_win_rate,67,0.16678441253359688,0.16680704324498197,-2.2630711385085434e-05
all_tournament,M,2019,single_seeded_wins,67,0.16701903855854608,0.16680704324498197,0.00021199531356411172
all_tournament,M,2021,baseline,66,0.21921447022202573,0.21921447022202573,0.0
all_tournament,M,2021,minimal,66,0.22156367000714813,0.21921447022202573,0.002349199785122408
all_tournament,M,2021,minimal_quality,66,0.22082207237632692,0.21921447022202573,0.0016076021543011965
all_tournament,M,2021,single_away_quality_wins,66,0.21946532875125102,0.21921447022202573,0.00025085852922529517
all_tournament,M,2021,single_bad_loss_rate,66,0.2194823148440855,0.21921447022202573,0.0002678446220597819
all_tournament,M,2021,single_elite_win_rate,66,0.21929679812178154,0.21921447022202573,8.232789975581856e-05
all_tournament,M,2021,single_elite_wins,66,0.21906291242364012,0.21921447022202573,-0.00015155779838560424
all_tournament,M,2021,single_late_quality_wins,66,0.21875276536102262,0.21921447022202573,-0.00046170486100310937
all_tournament,M,2021,single_quality_margin,66,0.21926066490329157,0.21921447022202573,4.619468126584869e-05
all_tournament,M,2021,single_quality_win_rate,66,0.21937393604931055,0.21921447022202573,0.0001594658272848215
all_tournament,M,2021,single_quality_wins,66,0.21929260441847234,0.21921447022202573,7.813419644661646e-05
all_tournament,M,2021,single_schedule_quality,66,0.22091194382458268,0.21921447022202573,0.0016974736025569537
all_tournament,M,2021,single_seeded_win_rate,66,0.21946208832592717,0.21921447022202573,0.000247618103901448
all_tournament,M,2021,single_seeded_wins,66,0.2192792932382904,0.21921447022202573,6.482301626467568e-05
all_tournament,W,2016,baseline,63,0.14946217863349998,0.14946217863349998,0.0
all_tournament,W,2016,minimal,63,0.16471468613589269,0.14946217863349998,0.01525250750239271
all_tournament,W,2016,minimal_quality,63,0.1691840918783449,0.14946217863349998,0.01972191324484493
all_tournament,W,2016,single_away_quality_wins,63,0.15529284071531602,0.14946217863349998,0.00583066208181604
all_tournament,W,2016,single_bad_loss_rate,63,0.14811814988409716,0.14946217863349998,-0.0013440287494028147
all_tournament,W,2016,single_elite_win_rate,63,0.15317708672850636,0.14946217863349998,0.0037149080950063806
all_tournament,W,2016,single_elite_wins,63,0.15013903311232848,0.14946217863349998,0.0006768544788285091
all_tournament,W,2016,single_late_quality_wins,63,0.14944924451578187,0.14946217863349998,-1.2934117718105265e-05
all_tournament,W,2016,single_quality_margin,63,0.1527240472259057,0.14946217863349998,0.0032618685924057367
all_tournament,W,2016,single_quality_win_rate,63,0.15430506033263497,0.14946217863349998,0.004842881699134993
all_tournament,W,2016,single_quality_wins,63,0.1526866194620601,0.14946217863349998,0.0032244408285601323
all_tournament,W,2016,single_schedule_quality,63,0.1491955082877602,0.14946217863349998,-0.0002666703457397668
all_tournament,W,2016,single_seeded_win_rate,63,0.15518019312386452,0.14946217863349998,0.005718014490364548
all_tournament,W,2016,single_seeded_wins,63,0.15314984254123212,0.14946217863349998,0.003687663907732147
all_tournament,W,2017,baseline,63,0.13054242303569893,0.13054242303569893,0.0
all_tournament,W,2017,minimal,63,0.14324633276156054,0.13054242303569893,0.012703909725861606
all_tournament,W,2017,minimal_quality,63,0.13901004299566436,0.13054242303569893,0.008467619959965422
all_tournament,W,2017,single_away_quality_wins,63,0.12902860579030148,0.13054242303569893,-0.001513817245397453
all_tournament,W,2017,single_bad_loss_rate,63,0.1279761197579391,0.13054242303569893,-0.002566303277759835
all_tournament,W,2017,single_elite_win_rate,63,0.1304310272208583,0.13054242303569893,-0.00011139581484062577
all_tournament,W,2017,single_elite_wins,63,0.13029129466194228,0.13054242303569893,-0.00025112837375665387
