Gender,Season,block,model,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,2021,dynamic,hist,66,0.2297331783104963,0.6543759740191548,0.707720588235294,0.6913787262214819,0.5952380952380952,0.78125,0.6756756756756757,0.11902430729442011
M,2021,dynamic,logistic,66,0.2126977975625419,0.6096576513576962,0.734375,0.7382857298876231,0.6097560975609756,0.78125,0.684931506849315,0.1296789522442653
M,2021,form,hist,66,0.24026240166578605,0.6802291041564489,0.6709558823529411,0.6456987498426872,0.575,0.71875,0.6388888888888888,0.14675139892424913
M,2021,form,logistic,66,0.23668102498343851,0.6750037401639644,0.6847426470588236,0.678467231143615,0.5777777777777777,0.8125,0.6753246753246753,0.10547625453122324
M,2021,four_factors,hist,66,0.22983974264681406,0.659281953282588,0.7049632352941176,0.6931924293197769,0.6,0.75,0.6666666666666666,0.10767851573064714
M,2021,four_factors,logistic,66,0.21155690693519383,0.6075180675070035,0.7463235294117647,0.7519876990305354,0.6190476190476191,0.8125,0.7027027027027027,0.10394949534063844
M,2021,full,hist,66,0.22254845035533394,0.6310279700427593,0.7279411764705882,0.7440512510696251,0.6097560975609756,0.78125,0.684931506849315,0.1630265263883888
M,2021,full,logistic,66,0.2829941587370666,0.8060325800835811,0.6727941176470589,0.7246420531138894,0.5454545454545454,0.75,0.631578947368421,0.24469598246740162
M,2021,history,hist,66,0.23162249053366626,0.6603431355761639,0.6875,0.670450849206296,0.5853658536585366,0.75,0.6575342465753424,0.1394073643684827
M,2021,history,logistic,66,0.22104901256132653,0.6224521809729627,0.7113970588235294,0.749600499772112,0.6097560975609756,0.78125,0.684931506849315,0.12252593724909912
M,2021,interactions,hist,66,0.23357124801315576,0.6663534913215051,0.6884191176470589,0.6871637274481903,0.5789473684210527,0.6875,0.6285714285714286,0.13635294993421132
M,2021,interactions,logistic,66,0.21822593198927603,0.6220711853657197,0.7224264705882353,0.7233121172978901,0.631578947368421,0.75,0.6857142857142857,0.12764831569859242
M,2021,legacy_full,hist,66,0.2276904270973923,0.6474352823002577,0.7049632352941176,0.7221601552002372,0.5777777777777777,0.8125,0.6753246753246753,0.12695120854646794
M,2021,legacy_full,logistic,66,0.21389594612793394,0.6151748946769694,0.7380514705882353,0.7462016851448462,0.6086956521739131,0.875,0.717948717948718,0.12015378067962647
M,2021,seed,hist,66,0.22725074328371503,0.6494057328585914,0.7201286764705883,0.6891560338131358,0.6136363636363636,0.84375,0.7105263157894737,0.148665945982298
M,2021,seed,logistic,66,0.2253033610756377,0.6417462264888406,0.7288602941176471,0.7181021974044923,0.6136363636363636,0.84375,0.7105263157894737,0.151127376974455
