bin,predicted,observed,games,Gender,block,model
2,0.2493071902400885,0.41379310344827586,29,M,without_shooting,logistic
3,0.3481536889636379,0.21428571428571427,28,M,without_shooting,logistic
4,0.4469026827628343,0.4230769230769231,26,M,without_shooting,logistic
5,0.5497902932299575,0.5909090909090909,22,M,without_shooting,logistic
6,0.6506670143449467,0.5588235294117647,34,M,without_shooting,logistic
7,0.7444208996792967,0.6046511627906976,43,M,without_shooting,logistic
8,0.853007275258145,0.6976744186046512,43,M,without_shooting,logistic
9,0.9523099121045756,0.8055555555555556,36,M,without_shooting,logistic
0,0.09117210979965966,0.2222222222222222,9,M,without_tempo,hist
1,0.1435033068467024,0.061224489795918366,49,M,without_tempo,hist
2,0.24463518103226742,0.23076923076923078,26,M,without_tempo,hist
3,0.35075295619212477,0.34285714285714286,35,M,without_tempo,hist
4,0.4537958168625766,0.4375,32,M,without_tempo,hist
5,0.5501367953452401,0.5454545454545454,33,M,without_tempo,hist
6,0.6539274178553414,0.5609756097560976,41,M,without_tempo,hist
7,0.7477588843129913,0.6041666666666666,48,M,without_tempo,hist
8,0.8527179099755897,0.76,50,M,without_tempo,hist
9,0.9098661183624803,0.8181818181818182,11,M,without_tempo,hist
0,0.04784977884432938,0.09090909090909091,33,M,without_tempo,logistic
1,0.14153817190575893,0.125,32,M,without_tempo,logistic
2,0.24704569599122306,0.1935483870967742,31,M,without_tempo,logistic
3,0.35175046392598475,0.4838709677419355,31,M,without_tempo,logistic
4,0.4411877094622258,0.4482758620689655,29,M,without_tempo,logistic
5,0.5562052129041711,0.44,25,M,without_tempo,logistic
6,0.6588379946620092,0.5476190476190477,42,M,without_tempo,logistic
7,0.7510309160228733,0.6,40,M,without_tempo,logistic
8,0.8565178623987725,0.7435897435897436,39,M,without_tempo,logistic
9,0.9493858901509439,0.8125,32,M,without_tempo,logistic
0,0.06484152601225669,0.03389830508474576,59,W,adjusted,hist
1,0.13114167670870233,0.13043478260869565,23,W,adjusted,hist
2,0.2602841910693372,0.28,25,W,adjusted,hist
3,0.34763444792236553,0.43478260869565216,23,W,adjusted,hist
4,0.44601953129939964,0.42857142857142855,21,W,adjusted,hist
5,0.553479416683929,0.6896551724137931,29,W,adjusted,hist
6,0.6502395785798675,0.6666666666666666,24,W,adjusted,hist
7,0.7486152591317262,0.5652173913043478,23,W,adjusted,hist
8,0.8667255988521166,0.8709677419354839,31,W,adjusted,hist
9,0.937372236100782,0.8771929824561403,57,W,adjusted,hist
0,0.045954878787010794,0.02,50,W,adjusted,logistic
1,0.14229113400062285,0.09375,32,W,adjusted,logistic
