Gender,model,feature,folds,retained_folds,retention_rate
M,hist,diff_research_distribution_last30days_rebound_share_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_rebound_share_median,5,0,0.0
M,hist,diff_research_distribution_last30days_rebound_share_min,5,0,0.0
M,hist,diff_research_distribution_last30days_rebound_share_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_rebound_share_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_rebound_share_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_rebound_share_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_rebound_share_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_rebound_share_std,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_count,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_max,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_median,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_min,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_shot_volume_std,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_count,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_max,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_median,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_min,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_tempo_std,5,0,0.0
