Gender,Season,block,model,feature,fitted,train_nonmissing,validation_nonmissing,train_games,validation_games,standardized_coefficient,status
M,2019,full,logistic,matchup_three_rate,True,402,67,402,67,-0.0648025945478726,fitted
M,2019,full,logistic,matchup_strength_volatility,True,402,67,402,67,0.0353882955138913,fitted
M,2019,full,logistic,diff_adj_offense,True,402,67,402,67,0.0098482321333424,fitted
M,2019,full,logistic,diff_adj_defense,True,402,67,402,67,0.0711672512721198,fitted
M,2019,full,logistic,diff_recent_offense,True,402,67,402,67,-0.0900317575988125,fitted
M,2019,full,logistic,diff_recent_defense,True,402,67,402,67,0.0021575049777109,fitted
M,2019,full,logistic,diff_adjusted_efg_offense,True,402,67,402,67,0.1896376188427836,fitted
M,2019,full,logistic,diff_adjusted_efg_defense,True,402,67,402,67,0.2762929366410784,fitted
M,2019,full,logistic,diff_adjusted_tov_offense,True,402,67,402,67,-0.0662305272063421,fitted
M,2019,full,logistic,diff_adjusted_tov_defense,True,402,67,402,67,0.3705333116056032,fitted
M,2019,full,logistic,diff_adjusted_orb_offense,True,402,67,402,67,0.0135258312254476,fitted
M,2019,full,logistic,diff_adjusted_orb_defense,True,402,67,402,67,-0.1166328131339304,fitted
M,2019,full,logistic,diff_adjusted_ftr_offense,True,402,67,402,67,0.0740997790396758,fitted
M,2019,full,logistic,diff_adjusted_ftr_defense,True,402,67,402,67,0.0055831165298048,fitted
M,2019,full,logistic,diff_residual_sd,True,402,67,402,67,-0.2198566613078649,fitted
M,2019,full,logistic,diff_residual_downside,True,402,67,402,67,-0.4041986813746493,fitted
M,2019,full,logistic,diff_recent_residual,True,402,67,402,67,-0.1825707741472773,fitted
M,2019,full,logistic,diff_road_residual,True,402,67,402,67,0.3760157819461018,fitted
M,2019,full,logistic,diff_schedule_sd,True,402,67,402,67,0.003942162576667,fitted
M,2019,full,logistic,diff_strong_opponent_margin,True,402,67,402,67,-0.1818349577437771,fitted
M,2019,full,logistic,diff_close_win_posterior,True,402,67,402,67,-0.1764269277014401,fitted
M,2019,full,logistic,diff_rest_days,True,402,67,402,67,0.1035426513250139,fitted
M,2019,full,logistic,diff_two_posterior,True,402,67,402,67,0.1691251335851945,fitted
M,2019,full,logistic,diff_two_uncertainty,True,402,67,402,67,-0.1559683118238724,fitted
M,2019,full,logistic,diff_three_posterior,True,402,67,402,67,-0.1104790574692422,fitted
M,2019,full,logistic,diff_three_uncertainty,True,402,67,402,67,-0.2237116934552342,fitted
M,2019,full,logistic,diff_free_posterior,True,402,67,402,67,-0.0852760516475212,fitted
M,2019,full,logistic,diff_free_uncertainty,True,402,67,402,67,-0.0116793150553975,fitted
M,2019,full,logistic,diff_opp_two_posterior,True,402,67,402,67,0.0005798672773596,fitted
M,2019,full,logistic,diff_opp_two_uncertainty,True,402,67,402,67,-0.1754619226801489,fitted
M,2019,full,logistic,diff_opp_three_posterior,True,402,67,402,67,0.162788768942759,fitted
M,2019,full,logistic,diff_opp_three_uncertainty,True,402,67,402,67,-0.0425249844314656,fitted
M,2019,full,logistic,diff_opp_free_posterior,True,402,67,402,67,0.1582182736677843,fitted
M,2019,full,logistic,diff_opp_free_uncertainty,True,402,67,402,67,0.1074174149232751,fitted
M,2019,full,logistic,diff_tempo,True,402,67,402,67,-0.2698131069116664,fitted
M,2019,full,logistic,diff_tempo_sd,True,402,67,402,67,-0.3114456273224142,fitted
M,2019,full,logistic,diff_three_dependence,True,402,67,402,67,0.0055899580602532,fitted
M,2019,full,logistic,diff_possession_gap,True,402,67,402,67,-0.1014885150683903,fitted
M,2019,full,logistic,diff_clean_coverage,True,402,67,402,67,0.2609553261399372,fitted
M,2019,full,logistic,diff_elo,True,402,67,402,67,0.3580817760659965,fitted
M,2019,full,logistic,diff_elo_mov,True,402,67,402,67,0.1190951552409483,fitted
M,2019,full,logistic,diff_elo_change,True,402,67,402,67,0.0286401015797142,fitted
M,2019,full,logistic,diff_elo_mov_change,True,402,67,402,67,-0.2931081360532613,fitted
M,2019,full,logistic,diff_prior_wins,True,402,67,402,67,0.4968483555679318,fitted
M,2019,full,logistic,diff_prior_appearances,True,402,67,402,67,-0.2888836992854904,fitted
M,2019,full,logistic,diff_prior_seed,True,402,67,402,67,-0.0823262448546364,fitted
