Gender,block,model,macro_season_brier,seasons,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
W,form,hist,0.1542136113232127,5,315,0.1542136113232127,0.46307663535440924,0.8603160525679272,0.8587470194171185,0.7530120481927711,0.7961783439490446,0.7739938080495357,0.05758848553941189
W,form,logistic,0.14899744572583737,5,315,0.14899744572583737,0.44608405459563555,0.8685398693864388,0.8701475945108939,0.7636363636363637,0.802547770700637,0.782608695652174,0.0574584091978171
W,four_factors,hist,0.15974285469228547,5,315,0.15974285469228547,0.47765860494543266,0.8531000564379585,0.8512742011495895,0.7530120481927711,0.7961783439490446,0.7739938080495357,0.0778717882505089
W,four_factors,logistic,0.1503197889978931,5,315,0.1503197889978931,0.45160443787356286,0.8663226638716439,0.8628482664359252,0.7696969696969697,0.8089171974522293,0.7888198757763976,0.06845533940528013
W,full,hist,0.16512067342405845,5,315,0.16512067342405848,0.4970727133293102,0.8444327985164879,0.8335011281352754,0.7407407407407407,0.7643312101910829,0.7523510971786834,0.0759519878462546
W,full,logistic,0.16798730009828583,5,315,0.16798730009828583,0.5128069407819673,0.8458437474804483,0.8434694445878532,0.7349397590361446,0.7770700636942676,0.7554179566563467,0.08270019840819576
W,history,hist,0.15488442596883092,5,315,0.1548844259688309,0.4702914186639034,0.8589454164315085,0.8461842287995557,0.7716049382716049,0.7961783439490446,0.7836990595611285,0.07923884585860688
W,history,logistic,0.14924161756813895,5,315,0.14924161756813892,0.4499709858901929,0.86716923325002,0.8599679056060121,0.7701863354037267,0.7898089171974523,0.779874213836478,0.04305181767223695
W,interactions,hist,0.1559070575037142,5,315,0.15590705750371422,0.46884058403383017,0.8569297750544224,0.8489502998549397,0.7575757575757576,0.7961783439490446,0.7763975155279503,0.062199646982338555
W,interactions,logistic,0.14834779563465458,5,315,0.14834779563465456,0.4438927393290639,0.870394259453358,0.8699753058272578,0.7763975155279503,0.7961783439490446,0.7861635220125787,0.048522349344654034
W,legacy_full,hist,0.15940251798552438,5,315,0.15940251798552438,0.47852124255520173,0.8541885027815851,0.8457571683093531,0.7341772151898734,0.7388535031847133,0.7365079365079366,0.08143608924670333
W,legacy_full,logistic,0.153325766797612,5,315,0.15332576679761203,0.4626786368966915,0.860759493670886,0.8530753589480368,0.757396449704142,0.8152866242038217,0.7852760736196319,0.05929025473428012
W,seed,hist,0.15734913729574096,5,315,0.15734913729574096,0.4706767954538225,0.8470128194791583,0.8257354522837016,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.04048093439034734
W,seed,logistic,0.15117915008387572,5,315,0.15117915008387572,0.4593785511814305,0.8667862613883739,0.859479009636966,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.05294688567795652
W,shooting,hist,0.15504872617782436,5,315,0.15504872617782436,0.4680187135323705,0.8595501088446343,0.8543716199444262,0.75625,0.7707006369426752,0.7634069400630915,0.056261435233190986
W,shooting,logistic,0.15279996757185826,5,315,0.1527999675718583,0.4586860029226417,0.8628557607030557,0.8593177440561663,0.7660818713450293,0.8343949044585988,0.7987804878048781,0.07095673463182223
W,strength,hist,0.1509552887126672,5,315,0.1509552887126672,0.45742227669003216,0.8653148431831008,0.8566504043859173,0.7678571428571429,0.821656050955414,0.7938461538461539,0.08973250794371847
W,strength,logistic,0.144307515227209,5,315,0.144307515227209,0.4338553470348823,0.8762799322744498,0.8764771266795437,0.7771084337349398,0.821656050955414,0.7987616099071208,0.06059080624726399
W,tempo,hist,0.1529245311571713,5,315,0.1529245311571713,0.4629682526129375,0.862089816979763,0.8544862003208052,0.7636363636363637,0.802547770700637,0.782608695652174,0.07423963575883977
W,tempo,logistic,0.14789288554198166,5,315,0.14789288554198166,0.4437000652667216,0.8685801822139805,0.868434323271413,0.7575757575757576,0.7961783439490446,0.7763975155279503,0.04485433948813002
W,without_adjusted,hist,0.16426840035853035,5,315,0.16426840035853035,0.49622709671835236,0.8445134241715714,0.82900870764052,0.7547169811320755,0.7643312101910829,0.759493670886076,0.07347044692892227
W,without_adjusted,logistic,0.16738773808779844,5,315,0.16738773808779842,0.5107517651273755,0.846891880996533,0.8447556011098367,0.7349397590361446,0.7770700636942676,0.7554179566563467,0.08192092221425469
W,without_dynamic,hist,0.1659214674528972,5,315,0.1659214674528972,0.5005366454506158,0.8423768443118601,0.8312595946355437,0.7453416149068323,0.7643312101910829,0.7547169811320755,0.07972186092140723
W,without_dynamic,logistic,0.16807332556665014,5,315,0.16807332556665014,0.5143675298085435,0.8425784084495687,0.8377510960022322,0.7305389221556886,0.7770700636942676,0.7530864197530864,0.08801956123766214
W,without_form,hist,0.16520092038272374,5,315,0.16520092038272371,0.49680939282970904,0.8458034346529065,0.8348915939010138,0.7515527950310559,0.7707006369426752,0.7610062893081762,0.07774727708554431
W,without_form,logistic,0.16582841386746547,5,315,0.16582841386746547,0.503534346230787,0.8475368862372008,0.8435981813587635,0.7309941520467836,0.7961783439490446,0.7621951219512195,0.07667374236404863
W,without_four_factors,hist,0.16577261602743862,5,315,0.1657726160274386,0.49896778974288813,0.8443521728614045,0.834153027638559,0.7515923566878981,0.7515923566878981,0.7515923566878981,0.07889528852469511
W,without_four_factors,logistic,0.16701649220295642,5,315,0.16701649220295642,0.5091397337384163,0.8469725066516165,0.8455527798191367,0.7393939393939394,0.7770700636942676,0.7577639751552795,0.07910660569524441
W,without_history,hist,0.1639934710456231,5,315,0.16399347104562306,0.4923101214718396,0.8472950092719503,0.8402803113593711,0.7329192546583851,0.7515923566878981,0.7421383647798742,0.08422091201348256
W,without_history,logistic,0.16545747637940547,5,315,0.1654574763794055,0.5000270795396035,0.8503184713375797,0.8520415255773686,0.7192982456140351,0.7834394904458599,0.75,0.08932538478006598
W,without_interactions,hist,0.1655421682420775,5,315,0.1655421682420775,0.49852415722381654,0.844432798516488,0.8358143701756849,0.7469135802469136,0.7707006369426752,0.7586206896551724,0.08189546193444117
W,without_interactions,logistic,0.16713016795235117,5,315,0.16713016795235114,0.5078025304778526,0.84822220430541,0.8459504871610696,0.7337278106508875,0.7898089171974523,0.7607361963190185,0.07710187056545036
W,without_shooting,hist,0.16435119405094656,5,315,0.16435119405094656,0.49512935406296477,0.8462065629283237,0.8370164908941644,0.7531645569620253,0.7579617834394905,0.7555555555555555,0.07250449368764528
W,without_shooting,logistic,0.16578561498672034,5,315,0.16578561498672034,0.5051260515111287,0.8456824961702814,0.8407100813695506,0.7575757575757576,0.7961783439490446,0.7763975155279503,0.09637445223740466
W,without_tempo,hist,0.16623319003267406,5,315,0.16623319003267406,0.4993851868928477,0.8434652906554867,0.8318330483656118,0.7469135802469136,0.7707006369426752,0.7586206896551724,0.07320176874669808
W,without_tempo,logistic,0.16679507697933751,5,315,0.16679507697933751,0.5088141511394059,0.8470934451342417,0.8426535545056768,0.7396449704142012,0.7961783439490446,0.7668711656441718,0.07128831315234377
