Gender,Architecture,Model,ModelDisplay,CommonSeasons,ComplexityRank,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty,StandardError,OneSELimit,WithinOneSE,RawBest,Recommended
M,separate_gender,elo_seed_logistic,Elo + seed logistic,"[2016, 2017, 2018, 2019, 2021]",2,334,5,0.20087951275359606,0.20078592704628218,0.022254606363866645,0.2321371389964289,0.5839320975817287,0.7608405483405485,0.7396156362604027,0.7391853451534753,0.6826347305389222,0.6886724386724388,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.37920994552224846,0.5,110,70,36,118,0.46107784431137727,0.562874251497006,-0.24124453892239484,0.8887417852936814,0.07737623349189045,0.13568398882361016,0.008294910886738834,0.05440468822726849,0.24848506579655064,0.009952562528421046,0.19452243248690718,False,False,False
M,separate_gender,seed_logistic,Seed logistic,"[2016, 2017, 2018, 2019, 2021]",1,334,5,0.20088245483281458,0.20078889653019547,0.022248593327341293,0.23213092790761045,0.5839413088201183,0.760515873015873,0.7377533900381861,0.7385108821818661,0.6826347305389222,0.6886724386724388,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.37920994552224846,0.5,110,70,36,118,0.46107784431137727,0.562874251497006,-0.24126111111282136,0.888675340207888,0.07507177703305633,0.13381195068359375,0.008174329481515395,0.05529636531445542,0.24848506579655064,0.009949873416736673,0.19452243248690718,False,False,False
M,pooled_common,elo_seed_logistic,Elo + seed logistic,"[2016, 2017, 2018, 2019, 2021]",2,334,5,0.20313390922217392,0.20303151447467532,0.02439806183994895,0.23733375488669142,0.5906715647834005,0.7604797979797979,0.7411673808009074,0.7408434262618241,0.6826347305389222,0.6886724386724388,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.37920994552224846,0.5,110,70,36,118,0.46107784431137727,0.562874251497006,-0.24316783018620353,0.7702707843859878,0.09762847870253696,0.16487545739201936,0.011385715181540326,0.054919700982506675,0.24848506579655064,0.010911144958673888,0.19452243248690718,False,False,False
M,pooled_common,seed_logistic,Seed logistic,"[2016, 2017, 2018, 2019, 2021]",1,334,5,0.20314079022101642,0.20303833711326483,0.024407365212618482,0.23736012821005079,0.5906985366841911,0.7602092352092353,0.7393138208271615,0.7402652740774076,0.6826347305389222,0.6886724386724388,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.37920994552224846,0.5,110,70,36,118,0.46107784431137727,0.562874251497006,-0.24315196846422943,0.7700468692037503,0.0982931483325041,0.16487285188015766,0.011543438238641244,0.055463928608233085,0.24848506579655064,0.010915305553415706,0.19452243248690718,False,False,False
M,pooled_common,constant_probability,Constant 0.50,"[2016, 2017, 2018, 2019, 2021]",0,334,5,0.25,0.25,0.0,0.25,0.6931471805599453,0.5,0.46107784431137727,0.7305389221556886,0.46107784431137727,0.5,0.46107784431137727,1.0,0.6311475409836066,0.0,0.5,0,180,0,154,0.46107784431137727,1.0,-0.15600424847658112,0.0,0.03892215568862273,0.03892215568862273,0.0015149342034493866,0.0,0.24848506579655064,0.0,0.19452243248690718,False,False,False
M,separate_gender,constant_probability,Constant 0.50,"[2016, 2017, 2018, 2019, 2021]",0,334,5,0.25,0.25,0.0,0.25,0.6931471805599453,0.5,0.46107784431137727,0.7305389221556886,0.46107784431137727,0.5,0.46107784431137727,1.0,0.6311475409836066,0.0,0.5,0,180,0,154,0.46107784431137727,1.0,-0.15600424847658112,0.0,0.03892215568862273,0.03892215568862273,0.0015149342034493866,0.0,0.24848506579655064,0.0,0.19452243248690718,False,False,False
W,pooled_common,xgb_classifier,XGBoost classifier,"[2016, 2017, 2018, 2019, 2021]",5,315,5,0.14868358783438557,0.1486835878343856,0.010530633987516034,0.15914364902279612,0.44959357896779767,0.8699105055228574,0.8686935624625586,0.8682020901130417,0.7682539682539683,0.7683221801177135,0.7560975609756098,0.7898089171974523,0.7725856697819314,0.5370992446362579,0.5,118,40,33,124,0.4984126984126984,0.5206349206349207,-0.14695783675875335,1.0135435724762516,0.06808284912554044,0.1269072787836194,0.005497511932970407,0.1072651456042393,0.24999748047367096,0.004709442688451105,0.15339303052283668,True,True,False
W,separate_gender,lgb_classifier,LightGBM classifier,"[2016, 2017, 2018, 2019, 2021]",6,315,5,0.14877543558028994,0.14877543558028997,0.0182110310726864,0.16882759221505772,0.45411931202480565,0.8704748851084415,0.8563875822068496,0.8552286399511352,0.7841269841269841,0.7841852777553817,0.7730061349693251,0.802547770700637,0.7875,0.5687145569275606,0.5,121,37,31,126,0.4984126984126984,0.5174603174603175,-0.1140715553923333,0.9942310194379871,0.06459261123612246,0.16127573698198272,0.006128009530991613,0.1084108319099073,0.24999748047367096,0.00814422068377754,0.15339303052283668,True,False,False
W,pooled_common,elastic_logistic,Rich elastic-net logistic,"[2016, 2017, 2018, 2019, 2021]",3,315,5,0.1491788610711195,0.14917886107111952,0.013490298008721964,0.16138420076227988,0.44601675899131793,0.868499556558897,0.8724772287112564,0.8720288554409362,0.780952380952381,0.7810610336208982,0.7619047619047619,0.8152866242038217,0.7876923076923077,0.5633725678548384,0.5,118,40,29,128,0.4984126984126984,0.5333333333333333,-0.18889504096060672,1.029205356866532,0.055546567102779616,0.13115416130711954,0.004592044381506202,0.10020549378652296,0.24999748047367096,0.006033044676846472,0.15339303052283668,True,False,False
W,separate_gender,elastic_logistic,Rich elastic-net logistic,"[2016, 2017, 2018, 2019, 2021]",3,315,5,0.1494654395680029,0.1494654395680029,0.017232486181310475,0.16867305889840686,0.44709053175017616,0.8699105055228573,0.8711952537310469,0.8707273568725069,0.7841269841269841,0.7842255905829235,0.7664670658682635,0.8152866242038217,0.7901234567901234,0.5694852100800364,0.5,119,39,29,128,0.4984126984126984,0.5301587301587302,-0.15997412712430412,0.8512452161393949,0.05243538545524529,0.16760937438812107,0.005108277513865649,0.10638508928063459,0.24999748047367096,0.007706602104547197,0.15339303052283668,True,False,False
W,separate_gender,xgb_classifier,XGBoost classifier,"[2016, 2017, 2018, 2019, 2021]",5,315,5,0.14973330006827007,0.14973330006827007,0.022358448429448306,0.1718439009037147,0.45392636278027715,0.8701523824881078,0.8625523315189455,0.8619377714772174,0.780952380952381,0.7810207207933565,0.7682926829268293,0.802547770700637,0.7850467289719626,0.5625178537198547,0.5,120,38,31,126,0.4984126984126984,0.5206349206349207,-0.1234591189371334,0.9172554026112386,0.07560428966664606,0.24718901683245942,0.01054769432066947,0.10850682507172521,0.24999748047367096,0.009999002111933964,0.15339303052283668,True,False,False
W,pooled_common,lgb_classifier,LightGBM classifier,"[2016, 2017, 2018, 2019, 2021]",6,315,5,0.15031406526309554,0.15031406526309554,0.010337832105571277,0.1592827407387836,0.45425602141780463,0.8641860840119326,0.8558154681954162,0.8551837968865359,0.765079365079365,0.7651374667419173,0.754601226993865,0.7834394904458599,0.76875,0.5305958778512754,0.5,118,40,34,123,0.4984126984126984,0.5174603174603175,-0.12598814924204815,0.9043678399880449,0.04741426590878644,0.12803701712146365,0.003949108290734732,0.10281046050439292,0.24999748047367096,0.004623219065607431,0.15339303052283668,True,False,False
W,pooled_common,constrained_ensemble,Constrained ensemble,"[2016, 2017, 2018, 2019, 2021]",20,315,5,0.15085444984439883,0.1508544498443988,0.014502897064964772,0.16359463774910027,0.4534651352227799,0.8655164073208095,0.8615495444569691,0.8610067187928483,0.7714285714285715,0.7715068934935096,0.7575757575757576,0.7961783439490446,0.7763975155279503,0.5436277585139253,0.5,118,40,32,125,0.4984126984126984,0.5238095238095238,-0.12924043804051746,0.8905190573441,0.05348524731445201,0.22452105411129808,0.006882545348771026,0.10556903705329203,0.24999748047367096,0.006485892741588683,0.15339303052283668,True,False,False
W,partial_pooling,partial_pooling_ensemble,Partial-pooling ensemble,"[2016, 2017, 2018, 2019, 2021]",21,315,5,0.1520210694507478,0.1520210694507478,0.015318120101180789,0.167372645636366,0.45780665685442384,0.8650729662178505,0.8591697355567568,0.8586096248692336,0.7714285714285715,0.7714867370797388,0.7607361963190185,0.7898089171974523,0.775,0.5433021042100371,0.5,119,39,33,124,0.4984126984126984,0.5174603174603175,-0.13019171731529805,0.8400766192391197,0.06034995142350645,0.17292545388800096,0.006176208812732033,0.10310487934719886,0.24999748047367096,0.00685047156674924,0.15339303052283668,True,False,False
W,pooled_common,xgb_margin,XGBoost margin,"[2016, 2017, 2018, 2019, 2021]",8,315,5,0.1526433289906927,0.15264332899069266,0.017637367046893004,0.1696315143021841,0.45796508424085325,0.8636620172538901,0.8593686564132634,0.8588212511595679,0.780952380952381,0.7809804079658147,0.775,0.7898089171974523,0.7823343848580442,0.5620287909514452,0.5,122,36,33,124,0.4984126984126984,0.5079365079365079,-0.07681197410471816,0.7986926521599309,0.04614509240150919,0.16666466306680117,0.004505181267404948,0.10073672778549891,0.24999748047367096,0.007887670332193496,0.15339303052283668,True,False,False
W,pooled_common,seed_logistic,Seed logistic,"[2016, 2017, 2018, 2019, 2021]",1,315,5,0.15297833079837614,0.1529783307983761,0.0122774730951331,0.16743009853356736,0.4660883919178299,0.8585624445698621,0.8538047342013328,0.854087815768201,0.7682539682539683,0.7683020237039426,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.5368204985672701,0.5,119,39,34,123,0.4984126984126984,0.5142857142857142,0.031303938084008026,1.3965525926216675,0.05939511366425055,0.11640735436230898,0.004671121648465787,0.10089993823096742,0.24999748047367096,0.005490652886528471,0.15339303052283668,True,False,True
W,pooled_common,elo_seed_logistic,Elo + seed logistic,"[2016, 2017, 2018, 2019, 2021]",2,315,5,0.1529815665913056,0.1529815665913056,0.01228004750141977,0.16743891354546042,0.46610418987508623,0.8588849471901959,0.8548154834521962,0.854429861387319,0.7682539682539683,0.7683020237039426,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.5368204985672701,0.5,119,39,34,123,0.4984126984126984,0.5142857142857142,0.031283467758962756,1.3967804523333032,0.06033261677930281,0.11639451142400503,0.004727780638328977,0.1010151456042393,0.24999748047367096,0.00549180419602021,0.15339303052283668,True,False,False
W,pooled_common,lgb_margin,LightGBM margin,"[2016, 2017, 2018, 2019, 2021]",9,315,5,0.15317653986736351,0.15317653986736357,0.018865097904432606,0.1716590798628157,0.4624060153197807,0.861646375876804,0.8561071949376753,0.8555292593753904,0.7777777777777778,0.7777956945900186,0.7735849056603774,0.7834394904458599,0.7784810126582279,0.5556137879943411,0.5,122,36,34,123,0.4984126984126984,0.5047619047619047,-0.07871332289531967,0.7920343594833208,0.0506992453187008,0.13336646878971803,0.004031474018400505,0.09766453116491519,0.24999748047367096,0.008436728263300027,0.15339303052283668,True,False,False
W,separate_gender,constrained_ensemble,Constrained ensemble,"[2016, 2017, 2018, 2019, 2021]",20,315,5,0.1534872397061729,0.1534872397061729,0.01730992845889342,0.17062883332353113,0.46430874168750846,0.861646375876804,0.8539198363791183,0.8533273222616541,0.7841269841269841,0.7841852777553817,0.7730061349693251,0.802547770700637,0.7875,0.5687145569275606,0.5,121,37,31,126,0.4984126984126984,0.5174603174603175,-0.14166126191758377,0.8043173173790036,0.05499166746933206,0.18072524067882711,0.005587992876253524,0.09973506367899608,0.24999748047367096,0.007741235343948771,0.15339303052283668,False,False,False
W,separate_gender,hist_classifier,Histogram boosting,"[2016, 2017, 2018, 2019, 2021]",4,315,5,0.15432084678043928,0.15432084678043928,0.014340750132717092,0.16850059339346649,0.4718533592485159,0.8626138837378053,0.8464764167225396,0.8455190271828545,0.7904761904761904,0.7905547045069741,0.7757575757575758,0.8152866242038217,0.7950310559006211,0.5817664542671295,0.5,121,37,29,128,0.4984126984126984,0.5238095238095238,-0.1049867422321269,0.7334832143136094,0.0774495199254033,0.25009799709804925,0.010275604116744157,0.1056298409447411,0.24999748047367096,0.00641337842901891,0.15339303052283668,False,False,False
