Architecture,Universe,Model,Gender,SeedGapBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
pooled_common,rich,xgb_classifier,W,1-2,64,0.25445861017717386,0.046875,0.6451926057343371
pooled_common,rich,xgb_classifier,W,3-5,102,0.18055204948538042,0.0392156862745098,0.726989857779414
pooled_common,rich,xgb_classifier,W,6-8,59,0.15042638495121033,0.11864406779661017,0.8528953895477925
pooled_common,rich,xgb_classifier,W,9-12,45,0.03233551282376341,0.022222222222222223,0.8961265449308686
pooled_common,rich,xgb_classifier,W,13+,40,0.0027050504322511755,0.0,0.9505795667413622
pooled_common,rich,xgb_margin,M,0,24,0.23938821436419533,0.0,0.5927083182183438
pooled_common,rich,xgb_margin,M,1-2,57,0.22548391142483226,0.0,0.6155279866273892
pooled_common,rich,xgb_margin,M,3-5,87,0.23301701769553945,0.022988505747126436,0.6597942861779853
pooled_common,rich,xgb_margin,M,6-8,74,0.15671183020566315,0.02702702702702703,0.7705273098099735
pooled_common,rich,xgb_margin,M,9-12,52,0.1675235509691494,0.09615384615384616,0.8308199642649032
pooled_common,rich,xgb_margin,M,13+,40,0.0706801253387735,0.075,0.9567983082903257
pooled_common,rich,xgb_margin,W,0,5,0.3296428738502658,0.2,0.6666115241191196
pooled_common,rich,xgb_margin,W,1-2,64,0.2579149011067393,0.0625,0.6735886079097821
pooled_common,rich,xgb_margin,W,3-5,102,0.18872021781062748,0.058823529411764705,0.7507133572708858
pooled_common,rich,xgb_margin,W,6-8,59,0.15907868445072154,0.13559322033898305,0.8675778452134998
pooled_common,rich,xgb_margin,W,9-12,45,0.02792384624688084,0.022222222222222223,0.9153400772632223
pooled_common,rich,xgb_margin,W,13+,40,0.0009050727899833019,0.0,0.9842831978709444
separate_gender,rich,constant_probability,M,0,24,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,1-2,57,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,3-5,87,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,6-8,74,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,9-12,52,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,13+,40,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,0,5,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,1-2,64,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,3-5,102,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,6-8,59,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,9-12,45,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,13+,40,0.25,0.0,0.5
separate_gender,rich,constrained_ensemble,M,0,24,0.20358275658722072,0.0,0.5957070420487186
separate_gender,rich,constrained_ensemble,M,1-2,57,0.22919356207402808,0.0,0.6062214777159065
separate_gender,rich,constrained_ensemble,M,3-5,87,0.23713662321562234,0.04597701149425287,0.6611673986393418
separate_gender,rich,constrained_ensemble,M,6-8,74,0.16324603187621084,0.04054054054054054,0.7601600734867471
separate_gender,rich,constrained_ensemble,M,9-12,52,0.16111549321273594,0.07692307692307693,0.8402717587730737
separate_gender,rich,constrained_ensemble,M,13+,40,0.06963853742386443,0.075,0.9436081000708259
separate_gender,rich,constrained_ensemble,W,0,5,0.3802443203406514,0.2,0.6657416167264765
separate_gender,rich,constrained_ensemble,W,1-2,64,0.2588615326750583,0.09375,0.6758048880635099
separate_gender,rich,constrained_ensemble,W,3-5,102,0.18757209864898983,0.0784313725490196,0.7539116783840651
separate_gender,rich,constrained_ensemble,W,6-8,59,0.1618837398276459,0.15254237288135594,0.8724860439247734
separate_gender,rich,constrained_ensemble,W,9-12,45,0.025806228760334646,0.022222222222222223,0.9277716570565019
separate_gender,rich,constrained_ensemble,W,13+,40,0.0008836452073585162,0.0,0.9776241157139122
separate_gender,rich,elastic_logistic,M,0,24,0.22439390205530108,0.0,0.5914080205063025
separate_gender,rich,elastic_logistic,M,1-2,57,0.23307444775584843,0.0,0.5983013210066578
separate_gender,rich,elastic_logistic,M,3-5,87,0.23903465302963134,0.022988505747126436,0.6538842486581583
separate_gender,rich,elastic_logistic,M,6-8,74,0.16220941937660593,0.02702702702702703,0.7424383212283656
separate_gender,rich,elastic_logistic,M,9-12,52,0.15594550742510155,0.07692307692307693,0.8274383364746777
separate_gender,rich,elastic_logistic,M,13+,40,0.06954745104378361,0.075,0.9604556888458319
separate_gender,rich,elastic_logistic,W,0,5,0.36347035831128427,0.2,0.6325934588909149
separate_gender,rich,elastic_logistic,W,1-2,64,0.2571091202135273,0.09375,0.6704925425146939
separate_gender,rich,elastic_logistic,W,3-5,102,0.18270687479423978,0.06862745098039216,0.7626497735196323
separate_gender,rich,elastic_logistic,W,6-8,59,0.1496599244184574,0.0847457627118644,0.8580750522156388
separate_gender,rich,elastic_logistic,W,9-12,45,0.029536177368420086,0.022222222222222223,0.9235347796283249
separate_gender,rich,elastic_logistic,W,13+,40,0.0003528306854598743,0.0,0.987886415263165
separate_gender,rich,elo_seed_logistic,M,0,24,0.25,0.0,0.5
separate_gender,rich,elo_seed_logistic,M,1-2,57,0.24834186670825661,0.0,0.5285204926080871
separate_gender,rich,elo_seed_logistic,M,3-5,87,0.25123996647326835,0.0,0.6470092689168865
separate_gender,rich,elo_seed_logistic,M,6-8,74,0.1761322628299838,0.0,0.7768557481467724
separate_gender,rich,elo_seed_logistic,M,9-12,52,0.17786926966914612,0.23076923076923078,0.8409428181699835
separate_gender,rich,elo_seed_logistic,M,13+,40,0.06915366689247206,0.075,0.9154930328018963
separate_gender,rich,elo_seed_logistic,W,0,5,0.25,0.0,0.5
separate_gender,rich,elo_seed_logistic,W,1-2,64,0.2496256849411433,0.0,0.5925710776466493
separate_gender,rich,elo_seed_logistic,W,3-5,102,0.21495605773510185,0.08823529411764706,0.7489210716732643
separate_gender,rich,elo_seed_logistic,W,6-8,59,0.15642778284738057,0.1694915254237288,0.8680099647791156
separate_gender,rich,elo_seed_logistic,W,9-12,45,0.025332664098539452,0.022222222222222223,0.9191049831375105
separate_gender,rich,elo_seed_logistic,W,13+,40,0.0009078731902759726,0.0,0.9715088604066626
