Architecture,Universe,Model,Gender,TournamentDayBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
separate_gender,rich,seed_logistic,W,rounds_3_4,112,0.20705315947953315,0.125,0.7691694745416936
separate_gender,rich,seed_logistic,W,semifinal,20,0.2081079884387988,0.0,0.611131871380383
separate_gender,rich,seed_logistic,W,final_or_other,7,0.1329270964344094,0.0,0.6635905893503431
separate_gender,rich,tensorflow_mlp,M,play_in,16,0.187931780447377,0.0,0.6225857478566468
separate_gender,rich,tensorflow_mlp,M,rounds_1_2,235,0.18250185484086132,0.05531914893617021,0.7553085321401979
separate_gender,rich,tensorflow_mlp,M,rounds_3_4,64,0.24138406669026904,0.0625,0.6871821729582734
separate_gender,rich,tensorflow_mlp,M,semifinal,14,0.16332816905445097,0.0,0.7150070768381868
separate_gender,rich,tensorflow_mlp,M,final_or_other,5,0.20869467331752328,0.0,0.6115324258804321
separate_gender,rich,tensorflow_mlp,W,rounds_1_2,176,0.11018868860924512,0.03409090909090909,0.8281958678026885
separate_gender,rich,tensorflow_mlp,W,rounds_3_4,112,0.20390562754167693,0.13392857142857142,0.8132646319884641
separate_gender,rich,tensorflow_mlp,W,semifinal,20,0.2859985240324473,0.2,0.7561232628533616
separate_gender,rich,tensorflow_mlp,W,final_or_other,7,0.1797292688775159,0.0,0.7571922635460007
separate_gender,rich,torch_mlp,M,play_in,16,0.17144366537148198,0.0,0.6694148512611938
separate_gender,rich,torch_mlp,M,rounds_1_2,235,0.1801322300874652,0.06382978723404255,0.7550073948005029
separate_gender,rich,torch_mlp,M,rounds_3_4,64,0.24307897790125915,0.0625,0.6964861632707324
separate_gender,rich,torch_mlp,M,semifinal,14,0.16420091473737333,0.0,0.7303299179421547
separate_gender,rich,torch_mlp,M,final_or_other,5,0.2110449583488677,0.0,0.6458466569481691
separate_gender,rich,torch_mlp,W,rounds_1_2,176,0.11623889620855188,0.03409090909090909,0.8393137229251376
separate_gender,rich,torch_mlp,W,rounds_3_4,112,0.2113684429528717,0.16964285714285715,0.8213709499807749
separate_gender,rich,torch_mlp,W,semifinal,20,0.28078305105243406,0.2,0.7396410302495156
separate_gender,rich,torch_mlp,W,final_or_other,7,0.16158156494009393,0.0,0.7530340398587084
separate_gender,rich,xgb_classifier,M,play_in,16,0.18380040067645673,0.0,0.5885967426002026
separate_gender,rich,xgb_classifier,M,rounds_1_2,235,0.1727229422643718,0.03829787234042553,0.7488018834606764
