Season,Rows,Brier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,Architecture,Universe,Model,EvaluationGender
2018,63,0.15395535676587538,0.45813236859540796,0.8640973630831643,0.8882780560069458,0.8863893359017245,0.7619047619047619,0.7616632860040567,0.7878787878787878,0.7647058823529411,0.7761194029850746,0.5222682765428288,0.5,22,7,8,26,0.5396825396825397,0.5238095238095238,pooled_common,rich,xgb_classifier,W
2019,63,0.13465824573967758,0.4129741742491392,0.8951612903225806,0.8960994336602717,0.8941176820042962,0.7936507936507936,0.7933467741935484,0.7878787878787878,0.8125,0.8,0.5872858691319854,0.5,24,7,6,26,0.5079365079365079,0.5238095238095238,pooled_common,rich,xgb_classifier,W
2021,63,0.15914364902279612,0.4790668356169455,0.8565488565488566,0.8973270390926498,0.8956658337644483,0.7301587301587301,0.735966735966736,0.8125,0.7027027027027027,0.7536231884057971,0.4647425972637845,0.5,20,6,11,26,0.5873015873015873,0.5079365079365079,pooled_common,rich,xgb_classifier,W
2016,130,0.18100836723653702,0.5352477338563757,0.823030303030303,0.7777896803292752,0.7752221917503789,0.7307692307692307,0.7496969696969698,0.631578947368421,0.8727272727272727,0.732824427480916,0.5006699982640015,0.5,47,28,7,48,0.4230769230769231,0.5846153846153846,pooled_common,rich,xgb_margin,ALL
2017,130,0.15272408373156657,0.4638090013847654,0.8743169398907104,0.8548062136197287,0.8534045774546805,0.7846153846153846,0.7933000712758376,0.7037037037037037,0.9344262295081968,0.8028169014084507,0.6040752991011539,0.5,45,24,4,57,0.46923076923076923,0.6230769230769231,pooled_common,rich,xgb_margin,ALL
2018,130,0.17952110990858636,0.5441232382359087,0.8142011834319528,0.8240887482162546,0.8223070671489797,0.7461538461538462,0.7461538461538462,0.7666666666666667,0.7076923076923077,0.736,0.49377071987869414,0.5,51,14,19,46,0.5,0.46153846153846156,pooled_common,rich,xgb_margin,ALL
2019,130,0.14547845234075807,0.4343646772557677,0.8764552150154431,0.8633549132276943,0.8620700927110136,0.7538461538461538,0.7500593965312425,0.7636363636363637,0.6885245901639344,0.7241379310344828,0.5051852488060992,0.5,56,13,19,42,0.46923076923076923,0.4230769230769231,pooled_common,rich,xgb_margin,ALL
2021,129,0.18955792750723865,0.5523198239964308,0.7881642512077294,0.822925654540878,0.8213443339078863,0.751937984496124,0.7539855072463768,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.5068703176099787,0.5,47,13,19,50,0.5348837209302325,0.4883720930232558,pooled_common,rich,xgb_margin,ALL
2016,67,0.19508103534730578,0.5855067908716277,0.7858439201451906,0.7180827634181787,0.6987535412909704,0.7164179104477612,0.7295825771324864,0.631578947368421,0.8275862068965517,0.7164179104477612,0.4591651542649728,0.5,24,14,5,24,0.43283582089552236,0.5671641791044776,pooled_common,rich,xgb_margin,M
2017,67,0.16740320570910705,0.4889752968751577,0.85650623885918,0.8654613862025369,0.8633422659322701,0.7313432835820896,0.7348484848484849,0.6530612244897959,0.9696969696969697,0.7804878048780488,0.5297608914172256,0.5,17,17,1,32,0.4925373134328358,0.7313432835820896,pooled_common,rich,xgb_margin,M
2018,67,0.1980780504958597,0.6077421535675425,0.7625448028673835,0.7749455524504449,0.7711809428929631,0.7313432835820896,0.7253584229390682,0.7407407407407407,0.6451612903225806,0.6896551724137931,0.4581672158324005,0.5,29,7,11,20,0.4626865671641791,0.40298507462686567,pooled_common,rich,xgb_margin,M
2019,67,0.15942723810799087,0.47400988827457385,0.852994555353902,0.8235041791230863,0.8202195796037601,0.7164179104477612,0.7050816696914701,0.6923076923076923,0.6206896551724138,0.6545454545454545,0.4170316680974522,0.5,30,8,11,18,0.43283582089552236,0.3880597014925373,pooled_common,rich,xgb_margin,M
2021,66,0.20857859465751796,0.6000511162497066,0.7398897058823529,0.7378755243847317,0.7313514698861192,0.7424242424242424,0.7435661764705883,0.7142857142857143,0.78125,0.746268656716418,0.4878053429276656,0.5,24,10,7,25,0.48484848484848486,0.5303030303030303,pooled_common,rich,xgb_margin,M
2016,63,0.1660421963885766,0.48179762560205996,0.8638253638253639,0.8315458480061455,0.8283498033602738,0.746031746031746,0.7723492723492724,0.631578947368421,0.9230769230769231,0.75,0.5481279503162871,0.5,23,14,2,24,0.4126984126984127,0.6031746031746031,pooled_common,rich,xgb_margin,W
2017,63,0.13711295400942033,0.437044845863237,0.9040816326530612,0.875749759067754,0.8732226107529678,0.8412698412698413,0.8464285714285715,0.78125,0.8928571428571429,0.8333333333333334,0.6886537240245661,0.5,28,7,3,25,0.4444444444444444,0.5079365079365079,pooled_common,rich,xgb_margin,W
2018,63,0.15978595087132738,0.47646502669274265,0.8580121703853956,0.8748566813109477,0.8724872939181354,0.7619047619047619,0.7616632860040567,0.7878787878787878,0.7647058823529411,0.7761194029850746,0.5222682765428288,0.5,22,7,8,26,0.5396825396825397,0.5238095238095238,pooled_common,rich,xgb_margin,W
2019,63,0.13064402938195493,0.3922023099817991,0.905241935483871,0.9104263488163029,0.9089000395199519,0.7936507936507936,0.7943548387096775,0.8275862068965517,0.75,0.7868852459016393,0.5904981666356846,0.5,26,5,8,24,0.5079365079365079,0.4603174603174603,pooled_common,rich,xgb_margin,W
2021,63,0.1696315143021841,0.5023156130644274,0.8482328482328483,0.8912482935446375,0.889444810702992,0.7619047619047619,0.7801455301455301,0.8928571428571429,0.6756756756756757,0.7692307692307693,0.5551216832011547,0.5,23,3,12,25,0.5873015873015873,0.4444444444444444,pooled_common,rich,xgb_margin,W
2016,130,0.25,0.6931471805599453,0.5,0.4230769230769231,0.7115384615384616,0.4230769230769231,0.5,0.4230769230769231,1.0,0.5945945945945946,0.0,0.5,0,75,0,55,0.4230769230769231,1.0,separate_gender,rich,constant_probability,ALL
2017,130,0.25,0.6931471805599453,0.5,0.46923076923076923,0.7346153846153847,0.46923076923076923,0.5,0.46923076923076923,1.0,0.6387434554973822,0.0,0.5,0,69,0,61,0.46923076923076923,1.0,separate_gender,rich,constant_probability,ALL
2018,130,0.25,0.6931471805599453,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.5,0,65,0,65,0.5,1.0,separate_gender,rich,constant_probability,ALL
2019,130,0.25,0.6931471805599453,0.5,0.46923076923076923,0.7346153846153847,0.46923076923076923,0.5,0.46923076923076923,1.0,0.6387434554973822,0.0,0.5,0,69,0,61,0.46923076923076923,1.0,separate_gender,rich,constant_probability,ALL
2021,129,0.25,0.6931471805599453,0.5,0.5348837209302325,0.7674418604651163,0.5348837209302325,0.5,0.5348837209302325,1.0,0.696969696969697,0.0,0.5,0,60,0,69,0.5348837209302325,1.0,separate_gender,rich,constant_probability,ALL
2016,67,0.25,0.6931471805599454,0.5,0.43283582089552236,0.7164179104477612,0.43283582089552236,0.5,0.43283582089552236,1.0,0.6041666666666666,0.0,0.5,0,38,0,29,0.43283582089552236,1.0,separate_gender,rich,constant_probability,M
2017,67,0.25,0.6931471805599454,0.5,0.4925373134328358,0.7462686567164178,0.4925373134328358,0.5,0.4925373134328358,1.0,0.66,0.0,0.5,0,34,0,33,0.4925373134328358,1.0,separate_gender,rich,constant_probability,M
2018,67,0.25,0.6931471805599454,0.5,0.4626865671641791,0.7313432835820896,0.4626865671641791,0.5,0.4626865671641791,1.0,0.6326530612244898,0.0,0.5,0,36,0,31,0.4626865671641791,1.0,separate_gender,rich,constant_probability,M
2019,67,0.25,0.6931471805599454,0.5,0.43283582089552236,0.7164179104477612,0.43283582089552236,0.5,0.43283582089552236,1.0,0.6041666666666666,0.0,0.5,0,38,0,29,0.43283582089552236,1.0,separate_gender,rich,constant_probability,M
2021,66,0.25,0.6931471805599454,0.5,0.48484848484848486,0.7424242424242424,0.48484848484848486,0.5,0.48484848484848486,1.0,0.6530612244897959,0.0,0.5,0,34,0,32,0.48484848484848486,1.0,separate_gender,rich,constant_probability,M
2016,63,0.25,0.6931471805599455,0.5,0.4126984126984127,0.7063492063492063,0.4126984126984127,0.5,0.4126984126984127,1.0,0.5842696629213483,0.0,0.5,0,37,0,26,0.4126984126984127,1.0,separate_gender,rich,constant_probability,W
2017,63,0.25,0.6931471805599455,0.5,0.4444444444444444,0.7222222222222222,0.4444444444444444,0.5,0.4444444444444444,1.0,0.6153846153846154,0.0,0.5,0,35,0,28,0.4444444444444444,1.0,separate_gender,rich,constant_probability,W
2018,63,0.25,0.6931471805599455,0.5,0.5396825396825397,0.7698412698412698,0.5396825396825397,0.5,0.5396825396825397,1.0,0.7010309278350515,0.0,0.5,0,29,0,34,0.5396825396825397,1.0,separate_gender,rich,constant_probability,W
2019,63,0.25,0.6931471805599455,0.5,0.5079365079365079,0.753968253968254,0.5079365079365079,0.5,0.5079365079365079,1.0,0.6736842105263158,0.0,0.5,0,31,0,32,0.5079365079365079,1.0,separate_gender,rich,constant_probability,W
2021,63,0.25,0.6931471805599455,0.5,0.5873015873015873,0.7936507936507937,0.5873015873015873,0.5,0.5873015873015873,1.0,0.74,0.0,0.5,0,26,0,37,0.5873015873015873,1.0,separate_gender,rich,constant_probability,W
2016,130,0.17777527920864603,0.5354002491389961,0.8213333333333332,0.7583404638699971,0.7554062261328375,0.7153846153846154,0.7218181818181819,0.6363636363636364,0.7636363636363637,0.6942148760330579,0.4384066756142526,0.5,51,24,13,42,0.4230769230769231,0.5076923076923077,separate_gender,rich,constrained_ensemble,ALL
2017,130,0.1559945313650568,0.4680719858302114,0.864575908766928,0.8432252568431355,0.841674496728699,0.7615384615384615,0.7687099073414112,0.6923076923076923,0.8852459016393442,0.7769784172661871,0.5474622330810004,0.5,45,24,7,54,0.46923076923076923,0.6,separate_gender,rich,constrained_ensemble,ALL
2018,130,0.17910285366773943,0.5322771353794625,0.8144378698224852,0.821600824417818,0.8198295487901359,0.7384615384615385,0.7384615384615385,0.7719298245614035,0.676923076923077,0.7213114754098361,0.4805768383647914,0.5,52,13,21,44,0.5,0.43846153846153846,separate_gender,rich,constrained_ensemble,ALL
