Architecture,Universe,Model,ModelDisplay,EvaluationGender,ComplexityRank,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty
separate_gender,rich,lgb_classifier,LightGBM classifier,M,6,334,5,0.18272502587990885,0.18266957371172637,0.01709591908954784,0.20124605005285362,0.5418913142368369,0.8024531024531023,0.7690135742947495,0.7673093999965976,0.7305389221556886,0.7317099567099568,0.6927710843373494,0.7467532467532467,0.71875,0.46202196177805205,0.5,129,51,39,115,0.46107784431137727,0.49700598802395207,-0.21060443417321525,0.9051881043059407,0.05366576994646299,0.18128355069762148,0.007038475419121086,0.07228666046816994,0.24848506579655064
pooled_common,rich,xgb_classifier,XGBoost classifier,M,5,334,5,0.18323013475646033,0.18313381229948072,0.02510799617689585,0.21540183538764912,0.5405253954262537,0.8029220779220779,0.7818639272243837,0.7807810467296159,0.7095808383233533,0.7136724386724387,0.659217877094972,0.7662337662337663,0.7087087087087087,0.42715230157134526,0.5,119,61,36,118,0.46107784431137727,0.5359281437125748,-0.25015782846504797,0.9197597869217711,0.053672746727298846,0.15751172827951837,0.004746346513724727,0.06801712467344921,0.24848506579655064
pooled_common,rich,constrained_ensemble,Constrained ensemble,M,20,334,5,0.1833593907777637,0.18327764217047374,0.023235422648628653,0.21066342561260118,0.5427528797327926,0.8015512265512266,0.7778804163282957,0.776482982235954,0.7155688622754491,0.7196969696969697,0.664804469273743,0.7727272727272727,0.7147147147147147,0.43919593391347167,0.5,120,60,35,119,0.46107784431137727,0.5359281437125748,-0.21880951661271514,0.9227313559581027,0.06055158063883617,0.1536023413606784,0.00546103030629098,0.06977830818877152,0.24848506579655064
partial_pooling,rich,partial_pooling_ensemble,Partial-pooling ensemble,M,21,334,5,0.18345636723019035,0.1833738097941474,0.02236450354384168,0.21103055086853903,0.5419219967052206,0.7979437229437231,0.7719780621292265,0.7707373350102513,0.7095808383233533,0.7127344877344878,0.6628571428571428,0.7532467532467533,0.7051671732522796,0.42466544505309334,0.5,121,59,38,116,0.46107784431137727,0.5239520958083832,-0.17949984964097587,0.9469789445934002,0.050249546530942345,0.12195792390310811,0.004336689086164553,0.06874294575855174,0.24848506579655064
separate_gender,rich,xgb_margin,XGBoost margin,M,8,334,5,0.1837948717598979,0.18372766397096688,0.01881128679375019,0.2062422732628475,0.5494944660650656,0.797943722943723,0.7676608145449113,0.7664209764363226,0.7335329341317365,0.7354256854256854,0.6923076923076923,0.7597402597402597,0.7244582043343654,0.46945625261194024,0.5,128,52,37,117,0.46107784431137727,0.5059880239520959,-0.1262943185517142,0.8535303974111633,0.0784066240592615,0.19319534411711436,0.00997464463579472,0.07235870888470584,0.24848506579655064
pooled_common,rich,ridge_margin,Ridge margin,M,7,334,5,0.18442777144015554,0.1843530007780868,0.020876428722227915,0.2094011725711101,0.5483642223096724,0.7981962481962482,0.7767178090363855,0.7755603974652483,0.7065868263473054,0.7080808080808081,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.4149062238106499,0.5,124,56,42,112,0.46107784431137727,0.5029940119760479,-0.15178547155029795,0.8749199123006731,0.04600292844668684,0.19235751845729365,0.005014204996007419,0.06682165465092742,0.24848506579655064
separate_gender,rich,xgb_classifier,XGBoost classifier,M,5,334,5,0.18475572775572746,0.1846877085417331,0.021465118051351983,0.20747414522985944,0.5456265507117676,0.7968253968253969,0.7688948658134063,0.7678321832140647,0.7215568862275449,0.7243145743145742,0.6763005780346821,0.7597402597402597,0.7155963302752294,0.44755674930664346,0.5,124,56,37,117,0.46107784431137727,0.5179640718562875,-0.22337338275251814,0.9580181654403195,0.04104365392805574,0.11927180421171768,0.002782953657358897,0.06490836892291818,0.24848506579655064
separate_gender,rich,constrained_ensemble,Constrained ensemble,M,20,334,5,0.18518925230318395,0.18510376921834878,0.02239743623226318,0.21374060263812827,0.5469954548193525,0.7949134199134199,0.765429752524257,0.7641991842267856,0.7005988023952096,0.702056277056277,0.6607142857142857,0.7207792207792207,0.6894409937888198,0.40289350893957177,0.5,123,57,43,111,0.46107784431137727,0.5029940119760479,-0.16256546175497497,0.9158886514607285,0.05096222034590138,0.12110491612802388,0.004579245152846742,0.06573025456340192,0.24848506579655064
pooled_common,rich,lgb_margin,LightGBM margin,M,9,334,5,0.18561765286448081,0.18555364750838926,0.019175142448806307,0.20699544179906648,0.5512324147677855,0.7953823953823954,0.7740905411620737,0.772954080278562,0.718562874251497,0.722005772005772,0.6704545454545454,0.7662337662337663,0.7151515151515152,0.4433084374041329,0.5,122,58,36,118,0.46107784431137727,0.5269461077844312,-0.16493653948909678,0.8787627924917609,0.052486612923758065,0.136026783004984,0.004954545220493361,0.06763019799205265,0.24848506579655064
pooled_common,rich,xgb_margin,XGBoost margin,M,8,334,5,0.18571362486355628,0.18564516687016122,0.02115230378907572,0.20857859465751796,0.5511109591465182,0.7952020202020202,0.7748928006714131,0.7736097888560527,0.7275449101796407,0.7308080808080808,0.68,0.7727272727272727,0.723404255319149,0.46074436449884537,0.5,124,56,35,119,0.46107784431137727,0.5239520958083832,-0.1628758353530059,0.8674544355994105,0.057300299296551685,0.10797542509460989,0.004204811634548913,0.06359548666604158,0.24848506579655064
